Title,URL,Date,Primary image,Primary image caption,Primary image rights information,Subjects,Station,State,Place,Keywords,Latitude,Longitude,MediaRSS URL,Words,Billboards
Giant puppets to roam Sovereign Hill over summer,http://www.abc.net.au/local/photos/2014/12/18/4151361.htm,18/12/2014,http://www.abc.net.au/reslib/201412/r1370354_19325418.jpg,Erth artistic director Scott Wright (front) with Doug the Miner.,Copyright: ABC | Source: ABC Local | Byline: Lily Partland,"Arts and Entertainment, Arts and Entertainment:Performance Art, Arts and Entertainment:Visual Art, Arts and Entertainment:Visual Art:Sculpture",ABC Ballarat,VIC,Ballarat,,-37.5675,143.8509,http://www.abc.net.au/local/photos/2014/12/18/4151361-mediarss.xml, Puppet master Scott Wright has brought three new friends home to Ballarat The giant puppets will perform at Sovereign Hill over the school holidays His television repairman father was offered a colour television as a test and the young Scott was soon an avid Sesame Street fan Jim Henson has a lot to answer for he said Scott formed the performance company Erth while still living in Ballarat and is now artistic director of the internationally successful Sydney-based outfit Now a project at Sovereign Hill has brought the artist back home to work in a familiar space As a child Scott spent a lot of time at the then community-run museum One day while participating in a re-enactment of the Eureka Stockade with his father he found himself stranded on the burning roof of a replica Eureka Hotel The only way down was for me to jump I think it was in 1980 there was a photograph of me leaping mid-air from this burning hotel on the front cover of the Ballarat telephone book Despite that slightly traumatic memory Scott says the invitation to come home to work on a project at Sovereign Hill was intriguing His team has created three automata which are 17th century mechanical robots The story goes that a human character called Tinker - who works during the day to repair things - is fascinated by the industrial revolution By night Tinker decides to create the automata that inhabit various locations around Sovereign Hill There a miner who lives in the diggings a school teacher who lives at the school and a blacksmith who lives in the foundry Scott says it important for puppet characters to have a backstory and to interact with visitors because it makes them more than just an object in the landscape He says that as the skills of the puppeteers grow over the summer the characters will further develop and mature At the moment they're like babies and they're learning their environment but eventually they're going to rule The huge puppets are over three metres high and require several people to manoeuvre them They've been specifically designed to blend in with the surrounding environment It was how do we lend from the architecture from the colour palette the general aesthetics of Sovereign Hill and make things that are out of place seem like they belong Scott said It took weeks to train the staff of Sovereign Hill to operate the heavy puppets Scott says usually dancers or physical performers make the best puppeteers We want people who have a sense of anatomy and how the body functions You're looking for people who have a certain sensitivity as well and a good sense of play Scott says with shows such as The Lion King Warhorse and King Kong - not to mention Erth own Dinosaur Zoo - finding huge success puppetry is the new black I think puppetry is something that been underestimated for a very long time and we're only now starting to appreciate its value Majestic Mythical Marvels is showing at Sovereign Hill from the 26th of December till the 26th of January</strong>,"images/0024.png"
Spring brings out the natural wonders in an ecological island haven,http://www.abc.net.au/local/photos/2014/10/27/4115356.htm,27/10/2014,http://www.abc.net.au/reslib/201410/r1347243_18843512.jpg,Blue Dampiera in bloom on French Island,Copyright: ABC | Source: Supplied | Byline: Faye Borders,"Education:Subjects:Environment, Environment, Environment:Conservation, Environment:Forests",ABC Gippsland Vic,VIC,Tankerton,abc gippsland orchid flowers spring blooming colour variety french island bush plants parks,-38.3833,145.2833,http://www.abc.net.au/local/photos/2014/10/27/4115356-mediarss.xml, During Spring the naturals wonders of an isolated island 60 kilometres from Melbourne are on show; it has a colour and diversity the likes of which is disappearing on mainland Victoria Clive Gordes and his wife Fay used to work in bush rehabilitation around Melbourne and now revel in the island unique self sustaining ecosystem particularly during Spring Right at the moment it just so fertile there reproduction going on everywhere you look One of the features of the island is the genetic diversity of the species here Mr Gordes said The couple have lived on French Island for about 20 years and have had the time to explore all it has to offer from Blue Gum forests and swamps to the woodlands where their property is situated They were amazed by the plant species surviving and growing on the island the same species that they had seen dying out on the mainland  The island  holds a flora which has disappeared from around Melbourne and the heathlands We get the chance to watch colonies of orchids grow here on the mainland they are watching them retreat Mr Gordes said About 110 orchid species can be found blooming on the island These orchids along with other native grasses have colonised parts of the island where firebreaks were slashed in the 80s In mid October the bush on French Island comes alive with colour as Egg and Bacon yellow and brown flowers spread all over the ground At eye level Tea Tree create what locals call ummer snow with a blanket of small white flowers The island isolation from the mainland means that a limited number of foreign grasses and weeds have taken root but the island hasn't escaped all pests Five years ago there was an influx of the brightly coloured caterpillar Cup Moth which ate the leaves off the Messmate Eucalyptus They defoliated nearly every Messmate on the island and it was a real worry Mr Gordes said The Gordes have watched threats like this come and go the Cup Moth died off when the cooler months approached I love it because it is natural it the way it should be Mr Gordes said,"images/0153.png"
Farmers find a slice of heaven on an isolated island,http://www.abc.net.au/local/photos/2014/10/23/4113394.htm,23/10/2014,http://www.abc.net.au/reslib/201410/r1345943_18817607.JPG,"Alison Pitt, olive grower, is happy at her farm on the isolated French Island.",Copyright: ABC | Source: ABC Gippsland | Byline: Jenni Henderson,"Rural:Agribusiness, Rural, Rural:Livestock, Rural:Pest Management",ABC Gippsland Vic,VIC,Tankerton,abc gippsland rural weather history grapes olives producers bees hives island french mainland,-38.1833,145.3833,http://www.abc.net.au/local/photos/2014/10/23/4113394-mediarss.xml, Within a hundred kilometres of Melbourne lies an island half covered with national park completely off the grid and only accessible by water To the farmers living there these are perfect conditions It has 110 permanent residents and about half a dozen are full time farmers Those who live on the island said they appreciate the isolation and the island rich biodiversity which sometimes presents challenges but also has rewards Olives</strong> When Alison Pitt and her partner Jane Unwin arrived on French Island 15 years ago there wasn't a tree on their property now they have 800 olive trees and many others besides They have set up a certified organic farm that runs nearly entirely on wind and solar power Ms Pitt has faced battles as an olive grower including bouts of scale and sooty mould Living in such a harsh environment also takes its toll; last year she lost all the flowers on the olive trees due to torrential rain and strong winds However none of these hurdles have put her off a life on the island For us the lifestyle outweighs any of the challenges Ms Pitt said As the olive trees on her property grew and produced more she could no longer transport the olives off the island and so began to process the olives at the farm On a good year the trees yield up to 15 tonne of olives oil When it comes to picking time Ms Pitt has a workforce who are keen to take a holiday to the island to pick olives I guess we forget that for city people it a great day out! It a sort of an unusual situation in a way but that just the way it happened it has evolved over time Ms Pitt said Bee Hives</strong> Glenys Ralph said about 10000 visitors come to French Island every year She has lived on the island with her family for 12 years operating the island only general store and a five acre property with bee hives The bees in their six hives and the other 40 situated around the island escape the pests affecting hives on the mainland she said They produce Tea Tree and Manuka honey and have the island only honey processing room on their property We don't have to move our hives around like they do on the mainland because there so much in flower all the time Ms Ralph said Wine grapes</strong> Despite French Island popularity with tourists wine maker Peter Hatton said the island is still relatively secret So few people know about it and I'm amazed after all these decades of living here that that has not changed he said Mr Hatton mother has owned a property on the island since 1984 and in the late 90s he returned to it to start a vineyard Even though Mr Hatton has seen problems like soldier grubs grasshoppers and drought his vines have produced about 10000 bottles of wine Mr Hatton said the climate of the island is not to different to that of South Gippsland which has proved successful for growing wine grapes in the past,"images/0153.png"
Ash Grunwald to headline remote island music festival,http://www.abc.net.au/local/photos/2014/10/24/4114222.htm,24/10/2014,http://www.abc.net.au/reslib/201410/r1346531_18829529.JPG,Festival organiser Steph Born stands overlooking the site of French Fest.,Copyright: ABC | Source: ABC Gippsland | Byline: Jenni Henderson,"Arts and Entertainment:Music, Business, Economics and Finance:Industry:Music, Environment, Environment:Alternative Energy",ABC Gippsland Vic,VIC,Tankerton,abc gippsland triple j festival french fest island remote music hip hop regaee blues rock,-38.6833,145.5833,http://www.abc.net.au/local/photos/2014/10/24/4114222-mediarss.xml, Ash Grunwald is headlining a festival which has decided to set up camp on an island where there is no mains water power no local government but a vast amount of natural beauty The only way to get to the island is a ferry or barge which is the route festival organiser Steph Born took when she was looking for a site for the event She had one look around the island and was sold We want to show people the beauty of French Island and what it is Ms Born said The island has a national park over 500 plant and over 200 bird species It also home to a healthy koala population Headlining the festival is Australian blues and rock performer Ash Grunwald and Kiwi DJ now living in Melbourne Opiuo There is also a variety of local artists covering genres such as blues rock acoustic hip-hop reggae and electronic music One of the biggest challenges in organising the festival has been getting punters to the island Last year bad weather meant there was only a five hour window to transport festival goers off the island This year there will be two ferries to cater for the growing number of people seeking adventure at the festival Three years ago it attracted 300 people; organisers are now expecting up to 1500 Despite the growing number of people festival organisers are keen to maintain a clean green and remote experience We don't want to be one of these huge festivals we want to keep it small boutique and intimate Ms Born said The festival power runs off generators and solar panels No glass is allowed and festival goers are also provided with rubbish and recycling bags You don't need to be on the mains power you don't need to be on the mains water you can eat from what can be grown around you and that something that really drew us to this site Ms Born said,"images/0157.png"
And they're off! Ballarat vet revels in Spring Racing Carnival buzz,http://www.abc.net.au/local/photos/2014/10/16/4108332.htm,16/10/2014,http://www.abc.net.au/reslib/201410/r1342685_18751569.jpg,Equine veterinarian Andrew Cust with 'Roguish Lady'.,Copyright: ABC | Source: ABC Local | Byline: Lily Partland,"Human Interest, Human Interest:People, Science and Technology:Animals, Science and Technology:Animals:Mammals",ABC Ballarat,VIC,Ballarat,"horse racing, veterinarian, equine sports, sport, gambling, Spring Racing Carnival",-37.6675,144.0509,http://www.abc.net.au/local/photos/2014/10/16/4108332-mediarss.xml, It that time of year again - when some of the best racehorses in the world converge on Victoria to compete for glory and riches Behind the scenes equine veterinarians like Andrew Cust are working hard to prepare them for the track The racing stable veterinarian describes it as the best part of his job The best horses are coming from overseas and the best local horses are racing against them so it very exciting with what could happen he says Andrew love of horses is lifelong He grew up on a farm where his family worked with racehorses and as a vet he worked exclusively with horses for about 10 years Before he became a partner at Ballarat Veterinary Practice Equine Clinic he spent three years working for the Macau Jockey Club where it was like Spring Racing Carnival all year round From a horseracing perspective it was the ultimate It really high intensity a lot of racing a lot of training a lot of injuries a lot of rehab so everything was just magnified He worked with horses that were worth so much money - due to the large amount of gambling involved - that they were treated like absolute kings Andrew says the most expensive horse he ever worked with was valued at $20 million and for him the higher the stakes the more exciting the work The pinnacle is to be involved with the best horses If you can be involved with the best horses and you're just managing their health rather than patching up injuries then that the best thing of all It the talk and buzz around a horse that can cause some nerves so Andrew says it a lot easier if you can block that out You do get excited with the big names but you've still got a job to do During this year Spring Racing Carnival Andrew is working with many local horses as well as horses from around the country and a few which have been flown in from Europe Those horses are kept at the Werribee quarantine centre and only come out to race Depending on where the horse is from Andrew and his team involvement with the horse will vary For local horses the involvement is often extensive and longterm with diet health management and farrier duties their responsibility from birth to retirement and beyond And the work certainly doesn't end with the carnival When all the hype dies down in the news we're still looking after them with the trainer because they still need to be fed and looked after Andrew says Some of these horses will go onto huge things like the Cathay Pacific Cup in Hong Kong or the Japan Cup so they need intensive care to keep them on the track and keep them happy and sound Andrew is under no illusions about the dangers racing holds for the horses he works with They are all elite athletes and so they're all on the edge all the time and so many things can go wrong So you have a certain amount of expectation that there are going to be hurdles along the way He says the hardest part of his job is deciding that a horse should be euthanased and it even more difficult when the reason for euthanasia isn't externally obvious It in the cases where a horse seems okay and you have to advise the client that this horse is a real danger for maybe a temperament or neurological reason So that very difficult and I would say that one of the hardest things to deal with personally but also to justify to the owners and to your colleagues Despite the risks to the creatures he loves he a strong supporter of the racing industry I've been brought up with racing it natural for me I've got horse experience from the start and many of these horses just absolutely love this,"images/0157.png"
Runners ready for 100km Kelly Chase,http://www.abc.net.au/local/photos/2014/10/24/4114007.htm,24/10/2014,http://www.abc.net.au/reslib/201410/r1346292_18824169.jpg,"Ned Kelly Chase organiser, Justin Scholz, crosses a bridge in Wangaratta at the 93 kilometre mark of the 100 kilometre ultra-marathon race.",Copyright: ABC | Source: ABC Goulburn Murray | Byline: Nick Fogarty,"Community and Society:Community Organisations, Community and Society:Regional, Human Interest:Offbeat, Human Interest:People",ABC Goulburn Murray,VIC,Wangaratta,"abc, abc goulburn murray, justin scholz, sport, running, athletics, ned kelly, wangaratta, news, ultrarunning,",-35.96,146.7193,http://www.abc.net.au/local/photos/2014/10/24/4114007-mediarss.xml, An international field will be running in the footsteps of Ned Kelly and his gang when they take on a 100km ultra-marathon around Wangaratta This is the training advice of Justin Scholz ultra-runner and organiser of the 100km Ned Kelly Chase ultra-marathon happening in the north-east Victorian town of Wangaratta on 26th October Scholz will not be running on Sunday but for the second year he'll be overseeing a race that sends competitors on an energy-sapping journey around the district In 2013 German runner Moritz auf der Heide won the inaugural race in a time of 739 Scholz is expecting a high-quality 2014 race with Victorian runner Dion Finocchiaro tipped to lead home a field of runners from overseas and around Australia He said while ultra-running was an incredibly demanding sport athletes develop a great understanding of their body capabilities You can start to feel little niggles coming along that can tell you to back off a little bit so though it is probably a challenge to the body ultra-runners are pretty good at managing that he said Scholz created the event in partnership with his wife Sharon the 2010 World Female Ultra-runner of the Year He has a 24-hour personal best of just over 214km a 100km PB of 835 and has done a 256 marathon While he posted some very competitive times in about 35 or 40 ultra-marathons Scholz said the attraction to ultra-running was very personal It something that I do to try to find my best and also to try to improve my mind and my body and get it over some of the adversity that it can face in the middle of these events he said You can face some pretty dark patches in some of these events when you get towards the end Runners can set off from the start line in Wangaratta Apex Park between 1200am and 600am on 26th October with the aim of finishing as close to 200pm as possible     The brains behind the Ned Kelly Chase Justin Scholz tells Nick Fogarty exactly what it takes to prepare for a 100km ultra-running race,"images/0158.png"
The weird and wonderful of French Island's history,http://www.abc.net.au/local/photos/2014/10/23/4113385.htm,23/10/2014,http://www.abc.net.au/reslib/201410/r1346005_18819114.JPG,"Lois Airs has gathered together a collection of objects unique to the history of French Island, including a mummified koala and an old fashioned plough.",Copyright: ABC | Source: ABC Gippsland | Byline: Jenni Henderson,"Community and Society, Community and Society:History, Environment, Environment:Land Management",ABC Gippsland Vic,VIC,Tankerton,abc gippsland history families settler community french island westernport,-38.3833,145.2833,http://www.abc.net.au/local/photos/2014/10/23/4113385-mediarss.xml, Walking around Lois Airs property is like walking around a museum; it strewn with objects old and new all relating to the history of her family and the island she calls home French Island has a healthy population of koalas introduced from the mainland in the 1880s In another corner of the shed is an officers uniform from the McLeod Prison Farm which opened in 1916 and ran for 59 years It housed 127 prisoners who grew their own vegetables and also made furniture and leather goods Lois family has been living on French Island for three generations Her great grandparents the Thompsons were some of the first settlers in the early 1890s It was a simple harsh life where settlers focused on growing enough food to survive Her grandfather wrote that the bush was very dense around the houses when he lived on the island Lois grandmother said that children tied rags on the trees when out walking to ensure they could always find their way home Today most of the island is connected by roads and tracks weave into the national park One of Lois favourite relics is a lever used to load up bags of chicory to take to the ferry and then onto Melbourne Lois parents ran one of the island chicory kilns and she can remember operating one end of the lever whilst someone else manned the shovel to fill the bag Chicory used to be added to coffee to make it stretch further and the chicory industry on French and Phillip Island ran for 68 years before it was made redundant by the creation of instant coffee said Lois Other industries such as sheep and cattle farming still exist on the island today Lois remembers taking a horse and wagon to school and meeting up with other children from other schools on the island at social gatherings which only occurred four times a year Life on French Island is much more social these days but the tranquillity of isolation remains What noise you make is what you hear Each person has a little bit that they do for the community; it what we enjoy about living here Lois said,"images/0159.png"
Albury-Wodonga rail action group gathers steam,http://www.abc.net.au/local/photos/2014/10/23/4113273.htm,23/10/2014,http://www.abc.net.au/reslib/201410/r1345778_18813560.jpg,"Border Rail Action Group (BRAG) convenor, Bill Traill (left), speaks to concerned Wodonga local, Bill Reynoldson, after the launch of BRAG on 22nd October 2014.",Copyright: ABC | Source: ABC Goulburn Murray | Byline: Nick Fogarty,"Business, Economics and Finance:Industry:Rail Transport, Community and Society:Regional, Government and Politics:Activism and Lobbying, Government and Politics:Federal Government",ABC Goulburn Murray,VIC,Wodonga,"abc, abc goulburn murray, rail, transport, bill traill, brag, government, politics, wodonga, albury, news,",-36.1217,146.885,http://www.abc.net.au/local/photos/2014/10/23/4113273-mediarss.xml, The leader of a new rail action group in north-east Victoria says the fate of the region much-maligned service will ultimately depend on politics But he said he found that the service wouldn't even match that of the 1950s and 60s For this reason Mr Reynoldson joined about 60 other people who were crammed into the upstairs room of a Wodonga pub on the evening of 22nd October They were there for the launch of the Border Rail Action Group (BRAG) which has the aim of fixing north-east Victoria rail problems Convenor of BRAG Bill Traill had called for people to attend the meeting as their presence would be a protest against injustice to the distant regions of the state We were wanting to set aside the minutiae if you like and address the main issues that the beleagured track and service are suffering from Mr Traill said after the meeting They were the track itself and its condition and also the condition of the rolling stock for the main operator V-Line Around $730 million has been spent on the Albury to Melbourne section of the track since 2009 under the authority of the Australian Rail Track Corporation As they had done in public forums across the north-east last December  speakers at the BRAG meeting questioned the cost of the project and raised their own experiences of travelling on the line Political presence State Greens candidates Jenny O'Connor and Dick Wellard were at the meeting as was state Labor candidate Jennifer Podesta Federal MP Sussan Ley and state MP Bill Tilley sent representatives while federal MP Cathy McGowan was an apology and issued a written statement Speaking as an Indigo Shire councillor Jenny O'Connor pledged that all councils adjacent to the line should donate money to the project Wodonga councillor Eric Kerr who attended the meeting said his council would also discuss the request for funds A petition to be tabled in Victorian parliament was also launched but due to a cross-border anomaly residents of Albury and other towns north of the border were unable to sign Bill Traill said that ultimately the fate of the Albury to Melbourne service would depend on politics There no doubt about it whether it be the Greens or Labor or the Coalition all the political pressure is to service rail needs in that burgeoning  Melbourne  metropolitan area he said We really have got to recognise that our place in the queue is a fair way down regardless of whichever party is in power That not to say with will and political clout that we can't do well,"images/0159.png"
Howzat! Everyone can play modified cricket,http://www.abc.net.au/local/photos/2014/10/21/4111591.htm,21/10/2014,http://www.abc.net.au/reslib/201410/r1344862_18795424.jpg,A wicket is taken in modified cricket.,Copyright: ABC | Source: ABC Central Victoria | Byline: Corey Hague,"Health:Disabilities, Health:Diseases and Disorders:Cerebral Palsy, Sport, Sport:Cricket",ABC Central Victoria,VIC,Bendigo,"modified cricket, wheelchair cricket, wheelchair sports, Scope disabilities, bendigo disabilities, Peter Krenz,",-36.5597,144.3789,http://www.abc.net.au/local/photos/2014/10/21/4111591-mediarss.xml, Traditional cricket can be tricky for people with a disability but a little bit of ingenuity has opened the sport up to everyone Some people don't have the option no matter how much they'd like to play cricket But thanks to some ingenuity some clever technology and some passionate volunteers Modified Cricket can give everyone a chance to be a champion Specially made bowling and batting machines are teamed with wireless remotes and a larger ball but the game is fairly true to traditional cricket Organised by disability organisation Scope  Modified Cricket is new to the Bendigo area but it already proving to be almost as popular as wheelchair football The scores are kept and the umpires overlook the proceedings with a critical eye but it clear from the smiles on both teams that it not about winning,"images/0161.png"
Families are facing pressure to be carers for elderly parents,http://www.abc.net.au/local/photos/2014/10/15/4107361.htm,15/10/2014,http://www.abc.net.au/reslib/201410/r1342088_18739056.JPG,Iain and Sue Fraser cared for Sue's mother Bessie at home until she passed away.,Copyright: ABC | Source: ABC Gippsland | Byline: Jenni Henderson,"Community and Society:Aged Care, Community and Society, Community and Society:Family and Children, Government and Politics",ABC Gippsland Vic,VIC,Sale,abc gippsland aged care elderly ageing residental carers victoria federal government,-37.7125,146.6668,http://www.abc.net.au/local/photos/2014/10/15/4107361-mediarss.xml, Families are facing pressure to care for elderly parents at home and even though it may be the preferred option it isn't always practical says support organisation Carers Victoria As a child she always had older relatives living at home and when her father passed away it was decided her mother Bessie Lewer would move into a house on her and her husband Iain property Caring for a parent at home is usually the preferred choice as admitting them to an aged care facility can be difficult says Mary O'Mara a counsellor for Carers Victoria The decision to place a loved one into residential care is often seen by the family carer as something that breaks promises and challenges the values of the carer approach to looking after someone she says Bessie made it clear to Sue and Iain that she wanted to stay at home When she first started to live with them 34 years ago they didn't see her very much she was kept busy with work a social life and sport We all worked well together and lived well together it was an easy relationship most of the time Iain says It wasn't until Bessie became more frail breaking a shoulder and then having a hip replacement that she required care from her family and friends Bess had always been part of the family therefore it wasn't anything we sat down and debated will we care for her? It how can we care for her Iain says In 2006 Bessie was diagnosed with cancer it became even harder to care for her and in the last few months of her life Iain and Sue had help from doctors and palliative care nurses who would visit once a day Sue says the hardest thing about caring for her mother was watching her deteriorate Bessie began to lose the ability to complete the cryptic crosswords she prided herself on wasn't able to play bridge with her usual group of friends on a Tuesday but what bothered her most was not being able to communicate  Bessie  tried to write a letter to the bridge club telling them how much she enjoyed their company and she couldn't write a letter she was so distressed about that Those things really hit home Sue says Iain also recalls trying to understand Bessie groans whether they were meant pain frustration or just communication According to Carers Victoria it times such as these when carers can become chronically tired and socially isolated due to emotional and physical strain Sue and Iain both say they were fortunate because they were retired and could give their time to care for Bessie they are also financially independent According to Carers Victoria 50 per cent of primary carers are on a low income and find it hard to cover living expenses and to save money Residential aged care as an option There has been a 25 per cent increase in the number of permanent residents in aged care according to the Australian Institute of Health and Welfare This could change under new aged care reform from the Federal Government says Wayne Sullivan director of Residential Aged Care for Central Gippsland Health Service The reform includes means testing for residential aged care income testing for home care packages and new accommodation payments arrangements for residential aged care The changes in essence are about giving the person who requires care the opportunity to select the care that they require Mr Sullivan says With the onus on families to set aside budget for aged care and the elderly to choose a preferred option there are all sorts of deliberations he says There the emotional deliberation in regards to a commitment to a family member there the cultural deliberation and there also the financial deliberation Mr Sullivan says The government decides the allocations of places in aged care based on the numbers and location of people aged 70 years and over The elderly must go through an assessment process before various options in care are presented to them and their families In 2012-13 18 per cent of people entering permanent care did so within a week of being approved through this assessment 44 per cent did so within a month and 70 per cent within three months according to the Australia Institute of Health and Welfare Over the 30 years Mr Sullivan has worked in aged care he has seen families make choices with their parents over and over again and he says the experience of the elderly living in aged care is as varied Some people come happily into aged care and really enjoy it he says,"images/0173.png"
Home with reality after downward drug spiral,http://www.abc.net.au/local/photos/2014/10/16/4108459.htm,16/10/2014,http://www.abc.net.au/reslib/201410/r1342598_18749397.jpg,Wodonga man Jeff overcame drug addiction and homelessness with the help of people like Laura Simpson from the Rural Housing Network.,Copyright: ABC | Source: ABC Goulburn Murray | Byline: Nick Fogarty,"Community and Society:Homelessness, Community and Society:Poverty, Health:Drug Use:Cannabis, Health:Mental Health",ABC Goulburn Murray,VIC,Wodonga,"abc, abc goulburn murray, drugs, mental illness, homelessness, wodonga, housing, health, cannabis, news,",-35.6217,146.685,http://www.abc.net.au/local/photos/2014/10/16/4108459-mediarss.xml, Heavy cannabis use pushed Jeff into a downward spiral of mental illness relationship breakdown and homelessness But he says it was all a learning experience I just got into it more and more and more you know it was an escape from reality and stuff like that he said It started off fun I guess that how it starts and then it just got hold of me and I couldn't stop Despite growing up in a stable Wodonga family Jeff began to get heavily into cannabis after finishing year 12 He began to have psychotic episodes and received a number of diagnoses including paranoid schizophrenia When family and friends began to distance themselves from him Jeff became angry before reluctantly accepting that he needed to make some changes It just came to a certain point where I realised I had to deal with those things and take a bit of responsibility for some stuff he said Jeff few good friends that remained told him he needed to cut himself off from the drugs cene as soon as possible He stopped couchsurfing and hanging around drugs and left behind most of his possessions including his car and beloved drum kit It came to a point where I was like At the moment I don't need that stuff I need to get my life back on track and start afresh he said Me letting go of all that stuff was sort of like letting go of all the past all my baggage He began accessing rehab and mental health services and an old musician friend took him in to live with his family Knowing that it might be his last chance to make things right Jeff moved into a new house through the Rural Housing Network Housing First pilot program By living in his own place he secured rental references and a strong launchpad to begin his life again Now living back in his original home Jeff said his experience had made me who I am today There no failure there only stuff to learn from he said     Heavy cannabis use pushed Jeff into a downward spiral of mental illness relationship breakdown and homelessness But he says it was all a learning experience,"images/0175.png"
"Young, old and canine ride to the Australian MotoGP",http://www.abc.net.au/local/photos/2014/10/16/4108372.htm,16/10/2014,http://www.abc.net.au/reslib/201410/r1342676_18751395.JPG,More than 300 riders set off from Bairnsdale in the Barry Sheene Memorial Ride to Phillip Island in October.,Copyright: ABC | Source: ABC Gippsland | Byline: Jenni Henderson,"Human Interest, Human Interest:People, Sport, Sport:Motor Sports",ABC Gippsland Vic,VIC,Bairnsdale,abc gippsland motorbike motorcycle motoGP grand prix phillip island bairnsdale barry sheene princes fwy police,-38.1268,147.7086,http://www.abc.net.au/local/photos/2014/10/16/4108372-mediarss.xml, More than 300 motorcycle riders set off from Bairnsdale travelling to Phillip Island for the 12th Barry Sheene Memorial Ride to the Australian Motorcycle Grand Prix Heading up the convoy was a collection of police motorcycles and one bike specially decorated in memory of Barry Sheene ridden by 2014 Australian MotoGP ambassador Kate Peck International motorcycle racing champion Barry Sheene passed away in 2003 following a battle with cancer Since then motorcycle riders from as far afield as Western Australia and Sydney have converged on the small Victorian country town every year to ride together to Phillip Island in tribute Participants get the opportunity to feel a little of the motorcycle champion stardom as they are clapped and cheered by locals all along the highway,"images/0175.png"
Learning the ropes of harness racing,http://www.abc.net.au/local/photos/2014/10/13/4105654.htm,13/10/2014,http://www.abc.net.au/reslib/201410/r1341093_18719407.jpg,Practicing speeding around the corner,Copyright: ABC | Source: ABC Central Victoria | Byline: Corey Hague,"Education:Adult Education, Education, Education:Vocational, Sport",ABC Central Victoria,VIC,Bendigo,"Bendigo Harness Racing Training Centre, harness racing school, John Randles, Lords raceway, harness racing bendigo, Daryl Douglas, horse racing industry, bendigo, horse skill, learning horse racing",-36.5597,143.8789,http://www.abc.net.au/local/photos/2014/10/13/4105654-mediarss.xml, Harness racing used to be an almost exclusively family based sport but the Harness Racing Training Centre has opened the gates for anyone keen to get involved Or more specifically a range of training courses for people who want to become involved in the horse racing industry? Beginning in Bendigo in 1990 the Harness Racing Training Centre at Lord Raceway has helped turn the industry from one of who-you-know into one of what-you-know These days they're one of the main education providers for the Victorian horse racing industry while their online learning services are used right across Australia and the world The expertise is here in Bendigo but our partners can be anywhere We're proof of the power of the internet Even if the students aren't here they're part of our network says John Randles Executive Officer with the centre Many of the students studying in Bendigo actually travel from Melbourne for hands on experience with leading drivers like Daryl Douglas who regularly wins hundreds of races a year and himself was trained in Bendigo Harness racing is different to traditional horse racing in that almost anyone can learn how to drive I only got involved about three years ago Two years ago I was terrified but now I love it It a lot of fun says student Melinda Wilkins John says that while everyone on the track wants to win there a strong camaraderie within the industry People like to share their knowledge It highly competitive but the industry loves to help,"images/0204.png"
