Title,URL,Date,Primary image,Primary image caption,Primary image rights information,Subjects,Station,State,Place,Keywords,Latitude,Longitude,MediaRSS URL,Words,Billboards
Alice Springs photographer helping refugees after rare desert event,http://www.abc.net.au/local/photos/2014/12/10/4146313.htm,10/12/2014,http://www.abc.net.au/reslib/201412/r1367245_19259943.jpg,Looking east over Alice Springs from the top of Anzac Hill,Copyright: Unspecified | Source: with permission | Byline: Peter Carroll,"Weather, Weather:Phenomena, Weather:Storm,",ABC Alice Springs,NT,Alice Springs,"storm, cloud, alice springs, photography, sky, landscapes, desert, news, storm,",-23.6989,133.8829,http://www.abc.net.au/local/photos/2014/12/10/4146313-mediarss.xml, Cloud magic A recent light show in the desert town is helping support refugees in Uganda The stunning cloud formations were photographed within a 20 kilometre radius of Alice Springs over about three days Mr Carroll is now selling prints of the images via his Facebook page to help raise funds for projects in Uganda including bedding for orphans at the Rwamwanja Refugee Camp in Western Uganda There are  thousands of  people in this refugee camp and there about four groups of orphans and unaccompanied minors that live in pretty atrocious conditions he says They've got a large white UNHCR tent and they've built beds out of sticks and they just sleep on sticks and cardboard when they can find it Mr Carroll and his family spent four weeks volunteering in Uganda last year and visited the camp during that time With the help of non-profit organisation Street Swags money raised from the sale of the images will be used to deliver durable bedding for the children Peter son Xaver has also raised money for the Kamwenge Youth Soccer Team in the same district Xaver and schoolmates Coco Cavalier Toby Roberts and Samual De Graaff busked in Todd Mall raising $700 dollars for boots shinpads gloves and balls Cloud magic in the desert</strong> Mr Carroll says he hasn't seen weather conditions like this in the region for about eight years We often get big dumps of rain but we don't get amazing cloud formations every afternoon he says The rain sort of spreads across the sky and filters the light so beautifully It changes so rapidlyyou get these beautiful dark parts then you've got blue sky behind that and orange colours coming through all at the same time around one storm Funds raised from the sale of the images will also be directed towards other projects in Uganda including infrastructure for a local school,0091.png
91 year old signallers remember WW2 in Adelaide River,http://www.abc.net.au/local/photos/2013/04/24/3744731.htm,24/04/2013,http://www.abc.net.au/reslib/201304/r1106063_13393652.jpg,Lottie Pryor and Hilda Johnson were posted to Adelaide River and Darwin in 1944-5 as signallers,Copyright: ABC | Source: ABC Local | Byline: Miranda Tetlow,"Human Interest,",ABC Darwin,NT,Darwin,"ww2, anzac day, hilda johnson, lottie pryor, miranda tetlow, adelaide river, world war two, darwin, northern territory",-12.5668,131.0433,http://www.abc.net.au/local/photos/2013/04/24/3744731-mediarss.xml, Hilda Johnson and Lottie Pryor were posted to Adelaide River in 1944 as signallers I just remember the first week we were there we got taken over to men quarters By the time we got back the Adelaide River had flooded! The road was completely washed away! Hilda and Lottie became firm friends as signallers based at Adelaide River before they were moved to Berrimah and then the Larrakeyah barracks The two remembered great times socialising with the men (especially the American soldiers who had the best food!) lecture series dances and concerts Says Lottie Marjorie Lawrence the great opera singer came and entertained us at Adelaide River The men were very reluctant to go and see opera but everyone had to go And by the end the men were hanging out of gum trees whistling cat calling good on you digger! As signallers Hilda and Lottie sent and received messages using morse code Hilda says her career highlight was deciphering the peace message in Perth It was 300 letters I remember That was my claim to fame! People were just dancing in the street when I was walking home and I felt like a hero in my own life Lottie most memorable message was an interesting one as well My claim to fame was that I took the highest grade of message a message from General MacArthur at two o'clock in the morning The cipher door opened and who ever was on duty took the message straight out of my hand I never got to know what General MacArthur had to say but at least I got his message! Lottie remembers her time in Adelaide River and Darwin fondly to this day It was a great time it hard to believe it was 70 years ago Hilda and I have been friends ever since     Hilda Johnson and Lottie Pryor talk about their experiences in the Northern Territory during the War,3220.png
"Remembering Stuart, Karmi, Mekdes and Kal-Kidan Sceney",http://www.abc.net.au/local/photos/2013/04/24/3744502.htm,24/04/2013,http://www.abc.net.au/reslib/201304/r1105844_13388890.jpg,"Tiwi fabrics are laid over the coffins at the funeral for Stuart, Karmi, Mekdes and Kal-Kidan Sceney",Copyright: ABC | Source: ABC Local | Byline: Miranda Tetlow,"Human Interest,",ABC Darwin,NT,Darwin,"karmi sceney, stuart sceney, kal-kidan sceney, mekdes sceney, sceney family, sceney, funeral, st mary's, miranda tetlow",-12.0668,130.9433,http://www.abc.net.au/local/photos/2013/04/24/3744502-mediarss.xml, Today funeral service was the culmination of three and a half weeks of pain grief and suffering for family and friends Hundreds of mourners turned out to pay their respects to the well-loved Sceney family and there would have been few dry eyes when the four coffins were brought to the front of the church while the song Immortality by Celine Dion played The Catholic service included traditional Tiwi singing and dancing and moving words of remembrance by family members friends and colleagues Daryl Sceney Stuart father said their family was bleeding badly from the tragedy The loss of our son our lovely daughter-in-law Karmi and our beautiful granddaughters Mekdes and Kal-Kidan is a terrible blow They were a huge part of our lives and we miss them terribly It is almost too much to bear Daryl remembered a son who always loved football Stuart played in the powerful St Mary teams of the 80s and 90s He played over 200 games he played in two premierships was awarded a life membership and until his death was still a committeeman and coach runner Darryl recalled his son love of fishing his hospitality and described him as a kid magnet - a loving father and husband Yvonne Dunn Karmi sister remembered Karmi as the glue who was always there to support every family member through the good and tough times She described Karmi as a great all-round athlete playing four sports for the Territory including basketball netball softball and soccer Friends Michelle Ah Matt and Hayley Iles recalled Karmi and Stu love story which began at St Mary Football Club Any man who held a ladies handbag in a public place in 1995 was rare and as we know Stu was one of a kind and their love for each other never wavered from that day forward To this day all of Karmi mates can't believe that you can bump into someone at the bar and find your lifelong love and soul mate Karmi was also acknowledged as a force for major reform in Northern Territory Education particularly for her work to improve outcomes for indigenous students Colleague Chris Fitzgerald said that Karmi was a natural leader who cared passionately about children Fishing was a passion Karmi shared with Stuart Rosanna De Santis said that no one could match Karmi with a throw net and not even a pop eye mullet could get away from her Karmi could see through the muddy water and tell you what fish was there even though we couldn't see a thing Trying to keep up with her as she walked for miles to find crabs was a challenge to all and then she would drop down and stick her hand down a hole and grab the crabs - no hook or spear for Karmi Stuart and Karmi undertook a two year process to adopt sisters Mekdes and Kal-Kidan from Ethiopia and surviving sister Jamila Dunn said that we fell in love with them instantly Jamila remembered Mekdes as a young woman who loved to watch The Vampire Diaries  who worked hard to earn money for birthday presents and phone credit She said Mekdes loved to read books and would take them to Nana Marjorie outstation and would wake up at 6 each morning to go for a jog before school I know Mekdes would've grown to be such a beautiful independent little woman She had such a beautiful soul so thoughtful and generous; there was not a selfish thing about her She was my sister Maliah aunty an amazing daughter and also my best friend but now she is an angel watching down over us and protecting us She will be forever in my heart and never forgotten Narelle Steel Stuart sister said that 12 year old Kal-Kidan had the most beautiful smile she was loud full of life energy and confidence Kal was so full of love and just wanted to be loved When she sat on the couch with you she didn't sit next to you she sat on you it was as though she just couldn't get close enough She described a young girl who loved the football idolised her father and adored makeup high heels pink dresses dancing and junk food  Kal  would beg Aunty Yvonne to drive her to the shop in Sabine Road that sold salty plums and pop rock candy When Kal was getting in trouble for doing something she would say don't try and change me this is who I am this is Kal Narelle finished by saying We will grieve for the wonderful times we've had but also for the future and the milestones that young Kal will never have We can only imagine the hilarious stories there would have been when Kal learnt to drive got a job and brought her first boyfriend home We love you Kal you were one of a kind and will live in our hearts forever just the way you were     Family and friends farewelled the Sceney family in Darwin today at a moving funeral,3224.png
Perspectives on conflict,http://www.abc.net.au/local/photos/2013/04/16/3738416.htm,16/04/2013,http://www.abc.net.au/reslib/201304/r1101554_13289820.jpg,"eX de Medici's work featured in the Australian War Memorial's ""Perspectives"" exhibition, depicting scenes in the Solomon Islands",Copyright: Unspecified | Source: Supplied | Byline: Australian War Memorial,"Arts and Entertainment, Arts and Entertainment:Visual Art, Arts and Entertainment:Visual Art:Painting, Defence and National Security",ABC Darwin,NT,Darwin,"perspectives, australian war memorial, exhibition, atrists, artwork, east timor, solomon islands, politics, defence, adf, news",-12.3668,131.3433,http://www.abc.net.au/local/photos/2013/04/16/3738416-mediarss.xml, With so much media attention centred on Australian troops involvement in the war in Afghanistan the exhibition highlights a less publicised side of the Defence Force operations Jon Cattapan travelled to East Timor in 2008 to form the basis of his works and focused largely on the interaction between peacekeeping troops and local East Timorese using traditional drawing methods mixed with imagery inspired by night patrol vision eX de Medici a former tattoo artist used her experience in detailed drawings and water colours to depict scenes in the Solomon Islands showing the scars of a country affected by political and military conflict Their works join the Australian War Memorial gallery of works commissioned under its official art scheme which has been in operation since 1916 during the First World War Curator Laura Webster said the scheme which recently exhibited works by portrait artist Ben Quilty from his embed with troops in Afghanistan aims to interpret Australians war experiences in an artistic manner for Australians Each artist has a completely different take on their experiences and that what we're after - a varied art collection and varied works and varied experiences Ms Webster said Ben Quilty had his own interest with portrait sittings and getting to know people quite intensely whereas eX de Medici touches a lot on colonisation globalisation and political themes She said while the works have changed with the artists over the duration of the scheme they have always been contemporary in their time There never been an overt glorification of war at the Australian War Memorial but there were artists that have looked at the torment of war Art is quite different from film and documentary photography Documentary photography you can't always trust it A lot of the photographs from the First World War were actually staged but people didn't realise that Art is a different way of using a personal interpretation someone who isn't a participant but who is able to observe and depict it in a different way and bring that back to the community Quite often the artists continue to work with these themes in the years to come The exhibition will run until July 14 at the Museum and Art Gallery of the Northern Territory Artist Jon Cattapan will speak about his works at the gallery at 2pm on April 20 and 11am on April 21     Curator Laura Webster describes Perspectives - a travelling exhibition from the Australian War Memorial,3250.png
Did YOU tread the boards?,http://www.abc.net.au/local/photos/2013/04/11/3735169.htm,11/04/2013,http://www.abc.net.au/reslib/201304/r1099823_13255033.jpg,'One Flew Over the Cuckoo's Nest' (1981),Copyright: Unspecified | Source: Alice Springs Theatre Group / Megg Kelham | Byline:,"Arts and Entertainment, Arts and Entertainment:Theatre,",ABC Alice Springs,NT,Alice Springs,"alice springs theatre group, totem theatre, news, history, heritage week, amateur theatre, community theatre,",-23.1989,134.3829,http://www.abc.net.au/local/photos/2013/04/11/3735169-mediarss.xml, The history of a long running and highly active theatrical group will be explored as part of this year Heritage Week program in Alice Springs As part of this year National Trust Heritage Week the story of this lively little theatre group will be explored by local historian Megg Kelham If These Walls Could Talk will be held at the historic Totem Theatre home to the ASTG for close to 50 years Beginning life as a dental clinic during World War II the Totem Theatre is known affectionately as the Tin Shed on Todd John Bridgefoot former ASTG player (and veteran of 12 shows at the Totem) remembers the small issue of the sound of rain drowning out his key speech We did the one play twice it was called Fools and there was a torrential downpour in the middle of one of my speeches I was supposed to be talking about my dead father! he says We couldn't talk for three minutes because of  the sound of  the rain on the tin roof Being positioned on the banks of a somewhat unpredictable river also made for some interesting theatrical experiences There some lovely stories says Megg Kelham  Like  the time that the Todd River flooded and the water came in so that the first three rows of the audience were actually sitting in flowing water while the play continued unabated! But it was almost twenty years before the ASTG moved into the Totem Theatre prior to 1964 they performed wherever they couldand their services were in demand They were the cultural hub of the time says Megg This is a town without television we don't get television or radio until the 1970 and 1980 it a town with no cultural program there no Araluen there no anything! Megg talk will be followed by a memory gathering conversation in preparation for the 50th birthday of ASTG occupancy of the Totem so she asking people to bring photographs memorabilia storiesanything that will help paint the picture of the ASTG over the decades If These Walls Could Talk is on Sunday 21st April at 230pm at the Totem Theatre Wills Terrace Follow this link to see the full program of events for this year Heritage Festival in Alice Springs Think you might know some of the people in these photographs? Head to the photo album on Totem Facebook page and leave your comments,3252.png
Water monitor versus yabby,http://www.abc.net.au/local/photos/2013/04/12/3735925.htm,12/04/2013,http://www.abc.net.au/reslib/201304/r1100220_13264202.jpg,"Water monitor versus yabbie, Litchfield National Park",Copyright: ABC | Source: ABC Local | Byline: Miranda Tetlow,"Arts and Entertainment:Photography, Environment, Human Interest, Science and Technology",ABC Darwin,NT,Darwin,"water monitor, litchfield, litchfield national parl, yabby, miranda tetlow, tony griffiths, csiro, goanna, lizard, top end, northern territory, darwin",-12.5668,131.2433,http://www.abc.net.au/local/photos/2013/04/12/3735925-mediarss.xml, An 80 centimetre water monitor in Litchfield decides to have yabby for dinner It such a precious part of living in the Top End swimming at the top of a waterfall overlooking the escarpment with no one else there Except of course for a water monitor And this was a water monitor on a mission Only a juvenile it probably measured about 80 centimetres but it was still wrestling a yabby three times the size of its head I abandoned the swim and watched this battle water monitor versus yabby for almost an hour First the water monitor had the yabby by the pincers then slowly after a bit of tussle gulp by gulp the yabby began to descend down its throat By the time I left it was pretty much all over for the yabby These are the sights you see on a day trip out of Darwin I'd been witness to something quite spectacular and with the water monitor reluctant to relinquish its prey I was able to take endless close up photos of the whole battle But these are the times when you wish you had David Attenborough narrating the experience for you a husky statesman in the sky explaining the natural world So I tracked down Tony Griffiths a water monitor and goanna expert with the CSIRO and showed him these photos Tony examined my pictures What I can see is a juvenile water monitor being pretty ambitious and taking a fair bit on He won't have to worry about having dinner for the next few days so it worth his while tackling such a big prey Tony also pointed out that the water monitor rib cage is showing I asked whether this might be a result of a tougher season in the wild Says Tony you could hazard a guess that the poorer wet season might have contributed to harder conditions but it a young animal so maybe it still learning to fend for itself They can also have issues with parasites in the guts as well It seemed amazing to me that a water monitor could down a yabby three times the size of its head but Tony says it not uncommon You can see from the photos that they've got a very big elastic mouth the skin is quite flexible and he can get it down Just another day in Litchfield National Park at the top of a waterfall overlooking the escarpment     Water monitor versus yabby Litchfield National Park,3254.png
Rocking out in Gove's Hog Shed,http://www.abc.net.au/local/photos/2013/02/15/3691588.htm,15/02/2013,http://www.abc.net.au/reslib/201302/r1073752_12697788.jpg,"John Keogh, one of the founders of the Hog Shed in Gove",Copyright: ABC | Source: ABC Local | Byline: Miranda Tetlow,"Arts and Entertainment, Arts and Entertainment:Music, Human Interest,",ABC Darwin,NT,Darwin,"gove, nhulunbuy, hog shed, john keough, live music",-12.8668,131.1433,http://www.abc.net.au/local/photos/2013/02/15/3691588-mediarss.xml, It a venue for live music and live music that usually played in bedrooms! It a chance for people to get out and play it for the public We have a jam here every Sunday It BYO and you never know who might turn up! John says anyone and everyone turns up at the Hog Shed It can be people playing with synthesisers acoustic sets choral arrangements you never know! We've had visiting musicians the local Yolngu bands our own musicians The East Journey guys come and jam members of Yothu Yindi It also given us the opportunity to put a few bands together to play at the local pub or club The Hog Shed is tucked away in Nhulunbuy industrial estate; there are shipping containers lawn mowers and all forms of metallic detritus around John explains     The Hog Shed is a tucked away live music venue in Nhulunbuy industrial estate,3260.png
Maningrida fights trachoma,http://www.abc.net.au/local/photos/2013/04/10/3734248.htm,10/04/2013,http://www.abc.net.au/reslib/201304/r1099243_13242335.jpg,Milka the goanna is the Trachoma program mascot and a winner with the kids.,Copyright: ABC | Source: ABC Local | Byline: Miranda Tetlow,"Health, Human Interest,",ABC Darwin,NT,Darwin,"maningrida, eye, trachoma, national critical care and trauma response centre, northern territory, centre for disease control, warren snowden, len notaras, charles douglas, helen wilson, infectious disease",-12.3668,130.6433,http://www.abc.net.au/local/photos/2013/04/10/3734248-mediarss.xml, Trachoma is a preventable infectious eye disease which can cause blindness It usually occurs in areas with overcrowded housing because personal and community hygiene becomes more difficult to maintain This week the Centre for Disease Control has teamed up with the National Critical Care and Trauma Response Centre and sent a team out to Maningrida to go from door to door giving a mass treatment of antibiotics Treatment is a single oral dose of the antibiotic Azithroymycin This is the fourth round of treatment for the community with one more round to follow in six months times Dr Charles Douglas is a public health physician and the section head for trachoma He explained that it a germ that carries easily and people don't necessarily know that they have it We've been going from house to house and give medicine to all adults and children and emphasising that to prevent the disease we need good facial hygiene We've got Milka the Goanna a mascot which spreads the message and people are getting much better at keeping the faces clean We think we're getting there Local Helen Wilson said that when the lizard comes from Darwin we love that and the kids they really really laugh And it helps them to take the medicine The medicine can help the adults and kids for their eyes The Federal Indigenous Health Minister Warren Snowden was also in Maningrida launching the latest report into trachoma infection rates He was pleased to report a decline in reported cases but conceded that we are the only first world nation with endemic trachoma Head of the National Critical Care and Trauma Response Centre Len Notaras said that although there had been treatment for trachoma in the community for a number of decades often the follow up and community consultation had been lacking Dr Charles Douglas says the community will be screened again a year later to see how successful the program has been We've committed as a nation to eliminating trachoma by 2020 and we expect that to happen     A mass treatment trachoma program is underway in Maningrida,3263.png
The fastest furniture sale in the bush,http://www.abc.net.au/local/photos/2013/04/04/3729970.htm,4/04/2013,http://www.abc.net.au/reslib/201304/r1096466_13183375.jpg,Santa Teresa residents bag a bargin or two.,Copyright: ABC | Source: | Byline: Caddie Brain,"Community and Society, Community and Society:Indigenous (Aboriginal and Torres Strait Islander):Aboriginal, Community and Society:Indigenous (Aboriginal and Torres Strait Islander), Rural",ABC Alice Springs,NT,Alice Springs,Santa Teresa Indigenous community furniture sale bargain Salvation Army Northern Territory Caddie Brain brendan Phelan ABC,-23.8989,133.4829,http://www.abc.net.au/local/photos/2013/04/04/3729970-mediarss.xml, When a pop-up furniture store opened in the remote community of Santa Teresa yesterday the locals helped clean it out in the blink of an eye After months of planning and days spent setting up the first furniture sale in the remote community of Santa Teresa sold out in a flash With no furniture shop closer than Alice Springs 80 kilometres away up a rough dirt road the arrival of a large truck packed with beds and sofas caused a lot of excitement Long before the temporary store opened its gates at 9am yesterday morning people were eyeing off the bulky items sitting in the yard outside The truck was organised and staffed by a Salvation Army team and filled with items from Adelaide before being driven the more than 1500 kilometres to Santa Teresa Team leader Denis White said the organisation had been running trips like this one into the APY lands in South Australia for six years but this is the first time they've visited the Northern Territory He says one of the biggest challenges is packing the truck so that nothing breaks and so they can still get as much in as is humanly possible We don't waste any space - all the drawers are filled with shoes or cutlery or pillows in the cupboards or wardrobes I went over the scales on this one and I've actually brought 63 tonnes of second hand items - but when you unpack it and it spreads out I don't think I could ever fit it back in! Local woman Annie Young was involved in inviting the truck to the community and she says she happy with the result It good for the community because people here don't have cars to get to town  and bring things back  - we need a big truck or maybe trailer It really really hard to get those kinds of things - it has been for a long time I'd like to see  this  happening more Despite the big truckload demand for furniture was so large that many missed out - even Annie But she not complaining The only thing I got was a beanie and a bracelet - that good enough for me Click on the audio for the full story</strong>     Brendan Phelan speaks to Annie Young and Denis White,3275.png
Kangaroo Dundee takes to Australian TV screens,http://www.abc.net.au/local/photos/2013/03/21/3721079.htm,21/03/2013,http://www.abc.net.au/reslib/201303/r1090587_13055651.jpg,"Kangaroo Dundee, 'Brolga' - Chris Barnes - with joey 'Keith' at his shack in the sanctuary on the outskirts of Alice Springs",Copyright: ABC | Source: ABC | Byline: Clare Rawlinson,"Arts and Entertainment, Arts and Entertainment:Television, Community and Society, Human Interest",ABC Alice Springs,NT,Alice Springs,"kangaroo dundee, abc tv, television, brolga, chris barnes, sanctuary, animals, joeys, baby kangaroos, wildlife, news, outback, bush, australia, environment",-23.3989,133.4829,http://www.abc.net.au/local/photos/2013/03/21/3721079-mediarss.xml, Fame and fortune have not changed the man known as Kangaroo Dundee Chris Brolga Barnes is adamant he will stick to his humble lodgings and animal-caring ways on the outskirts of Alice Springs His 50-acre sanctuary invites visitors to meet the kangaroos he nurses to health after sunset when they awake A small and simple shack on the sanctuary boundary is where Brolga lives with not much more than a bed and a campfire The response was so massive in the United Kingdom - Kangaroo Dundee was one of the highest rating animal shows in the UK ever Brolga told 783 ABC Alice Springs Drawing in 17 million viewers on its first night plus a further one million online replays the series has sparked a flurry of proposals from film producers and publishers all eager to have dibs on the classic Aussie story Basically every TV station in Australia is trying to get me to do more work with them Brolga said With donations reaching the tens of thousands pouring in from UK viewers Brolga says all the attention won't change who he is Rather than spending the money on myself I'll make sure we get a kangaroo hospital up and running - that the most important thing to me he said He hopes the TV series airing in Australia will bring about more support for wildlife carers Every town has a kangaroo carerthey're very common animals brought in for care from road kill or hunting But how it might impact on his single status is debateable Brolga admits he has received many very flattering messages from female viewers including some models sending through their portfolios Thats been funny but I don't take it seriously - if I walk into a pub in Alice a girl doesn't look twice at me After a year of being closed during the program production Brolga Kangaroo Sanctuary will resume for tours again on April 3 Kangaroo Dundee airs at 830pm tonight More details here      Brolga the Kangaroo Dundee shows Clare Rawlinson around his sanctuary on the outskirts of Alice Springs,3301.png
Red Hand Prints from an 1880 letterpress,http://www.abc.net.au/local/photos/2013/03/21/3720862.htm,21/03/2013,http://www.abc.net.au/reslib/201303/r1089981_13042478.jpg,Franck Gohier and Chayni Henry with their printing press from the 1800s.,Copyright: ABC | Source: | Byline: Miranda Tetlow,"Arts and Entertainment, Arts and Entertainment:Contemporary Art, Arts and Entertainment:Design, Arts and Entertainment:Visual Art",ABC Darwin,NT,Darwin,"press, letterpress, printing press, type, typeface, font, stamp, block stamps, franck gohier, chayni henry, red hand prints, art",-12.3668,130.4433,http://www.abc.net.au/local/photos/2013/03/21/3720862-mediarss.xml, Printmakers Franck Gohier and Chayni Henry have just got their hands on a printing press from the 1800s The walls are covered with vivid art - pin ball machines transformed with tiki and Hawaiian iconography action figure collections Chayni Maori self portraits art books tin toys curios from Papua New Guinea and Indonesia Aboriginal bark paintings and eight printing presses The latter is a passion particularly for Franck who has been a printmaker now for more than 20 years Their most recent acquisition is a Morfitt Empress an old fashioned letterpress dating back to 1880 Letterpress is the only form of printing I hadn't tried explained Franck Apparently there only around five of this particular model left in existence Virginia Woolf had all her novels printed on a machine just like this The use of printing presses for political and creative purposes is something that fascinates Franck I've always been interested in the press as a symbol of resistance disseminating information to people In times of oppression in Europe printers would be some of the first people imprisoned and their work and equipment would be commandeered Franck and Chayni have discovered an international community of people who adore these old fashioned presses and typefaces Says Franck Some of the bits of equipment can be expensive but as you get into the letter press community people begin to give you things We've got to make quite good friends with people who still hand cast lead type from original matrixes from the 1930s I've got some really nice Art Deco and Victorian fonts that are in pristine condition Chayni describes hand printed work as having a presence like no other When you hold a business card or wedding invite that been printed with the lead or wooden type face it just got a weight to it You can smell the ink and you can see the nicks in the wood which come out on the print It the flaws which give it that beauty     Franck Gohier and Chayni Henry share their latest printing press acquisition - an 1880 Morfitt Empress,3302.png
New program for girls in Yirrkala,http://www.abc.net.au/local/photos/2013/03/20/3720025.htm,20/03/2013,http://www.abc.net.au/reslib/201303/r1089721_13037781.jpg,Yirrkala Girls Program,"Copyright: ABC | Source: Used with Permission | Byline: East Arnhem Shire Council's Youth, Sport and Recreation Team","Community and Society, Community and Society:Indigenous (Aboriginal and Torres Strait Islander), Community and Society:Women, Community and Society:Youth",ABC Darwin,NT,Darwin,"yirrkala, girls program, east arnhem shire, araluen maymuru, bianca barling, aboriginal, clontarf",-12.4668,130.4433,http://www.abc.net.au/local/photos/2013/03/20/3720025-mediarss.xml, The East Arnhem Shire in Yirrkala is trying to fill the gap in services for young women It an age old question right around the Territory Clontarf Foundation provides some great opportunities for our Territory boys using AFL as the carrot for school attendance and to promote life skills - but what about the girls? With that in mind the East Arnhem Shire in Yirrkala has just started a Girls Program called Gong-Wapitja Organisers Bianca Barling and Araluen Maymuru explain It an idea that came out of the community and the schools just speaking to people We're just looking for a way to encourage school attendance and to focus on well being The program is just six months in but already young women around the community are getting involved in a range of activities from sport to the creative arts There are cultural activities dance music and even a bit of hairdressing and make up Says Araluen The changes I've seen in the girls are great They're just a lot happier I think these girls are ready for something like this and to see what will happen next Bianca agrees There always lots of focus on the problems but we want to focus on the good things There are lots of strong women here who are natural athletes and leaders We want to strengthen the good things that are happening and find ways to support that     Bianca Barling and Araluen Maymuru speak to Miranda Tetlow about the Yirrkala Girls Program they've got underway to try and connect with young women in the area,3310.png
Saints take the Premiership,http://www.abc.net.au/local/photos/2013/03/16/3717285.htm,16/03/2013,http://www.abc.net.au/reslib/201303/r1088146_13004749.JPG,Saint Mary's celebrates its Grand Final win against the Tiwi Bombers,Copyright: ABC | Source: ABC | Byline: Clare Rawlinson,"Human Interest, Sport, Sport:Australian Football League,",ABC Darwin,NT,Darwin,"saint marys, tiwi bombers, football, ntfl, afl nt, news,",-11.9668,130.6433,http://www.abc.net.au/local/photos/2013/03/16/3717285-mediarss.xml, Finishing at 102-71 Saint Mary were under pressure throughout the first three quarters of the game to stay ahead of the Tiwi Bombers The Tiwi Bombers lead the match in the first half leaving Saint Mary with the catching up to do after the Bombers three goals in a row at the end of the first half At quarter time the scores were even and at half Bombers lead by 19 At three-quarter time the Bombers regained their edge above by six points But it was in the final quarter that Saints smashed home the goals signalling a clear win was ahead Catch up on all the action on the     NTFL 2013 Grand Final highlights,3311.png
Tiwi Islands Grand Final draws hundreds across the Arafura,http://www.abc.net.au/local/photos/2013/03/17/3717411.htm,17/03/2013,http://www.abc.net.au/reslib/201303/r1088311_13008200.JPG,"Imalu Tigers players Cecil Bourke, Cameron Vigona-Ross and Aaron Daniels with the Premiership cup",Copyright: ABC | Source: ABC | Byline: Clare Rawlinson,"Arts and Entertainment, Arts and Entertainment:Visual Art, Community and Society, Community and Society:Indigenous (Aboriginal and Torres Strait Islander)",ABC Darwin,NT,Nguiu,"tiwi islands, football, imalu tigers, tapalinga superstars, news, grand final, indigenous, aboriginal, culture, art sale, tiwi designs, artists",-12.15,130.2333,http://www.abc.net.au/local/photos/2013/03/17/3717411-mediarss.xml, For many visitors the game is just an excuse to pop over to the remote community and experience the thriving culture around Indigenous art and football The Tiwi Islands has the highest AFL participation rate in Australia with around 900 participants in the population of 2600 Spectators - from toddlers to the elderly - congregated at the Nguiu oval in team colours to cheer on their clubs Commentator HG Nelson said the game was a fantastically tight one with great goals and defence from Imalu The win makes it the second in three years for Imalu which is in its sixth year of Grand Final games Tapalinga is also one of the Tiwi Islands leading teams with two Premierships in recent years and several Grand Final games You can re-live all the Grand Final magic on Monday 18 March on Grandstand Digital Grand Final most important day of the year for artists</strong> Munupi Arts Centre assistant manager Anisha Stitfold said Grand Final day would bring the greatest sales to Tiwi island artists for the year This day is really important on many levels because it brings in so many customers for art and football we get to sell a lot of work she said She said the two events provided a rare opportunity for visitors to have an experience of the Tiwi Islands Unless you're working on community or on the islands you don't have a reason to come but this gives people many reasons to come over today Douglas Vvivian Warlapinni works at the Tiwi Designs art centre and sells his work at the art sale It very important to showcase the style of Tiwi people for other people to take the art back to Melbourne and Sydney and overseas and tell the story of the artist he said Visitor Dave Leon said he came not so much for the football but for the cultural experience I don't even know who is playing to be honest I'm here just to see what it like he said It is worth it to come over and see what it like here and then to have the added bonus of the art and the grand final is great     Tiwi Islands Grand Final Art sale,3312.png
