Title,URL,Date,Primary image,Primary image caption,Primary image rights information,Subjects,Station,State,Place,Keywords,Latitude,Longitude,MediaRSS URL,Words,Billboards
Mittagong Greeny Flat shows eco-living made easy,http://www.abc.net.au/local/photos/2014/05/26/4012255.htm,26/05/2014,http://www.abc.net.au/reslib/201405/r1280295_17329764.jpg,Andy Lemann in front of his environmentally sustainable Greeny Flat in Mittagong.,Copyright: ABC | Source: ABC | Byline: Justin Huntsdale,"Business, Economics and Finance:Industry:Building and Construction, Business, Economics and Finance:Industry:Electricity Energy and Utilities, Environment:Alternative Energy:Solar Energy, Science and Technology:Energy",ABC Illawarra NSW,NSW,Mittagong,"greeny flat, andy lemann, mittagong, energy, building, efficiency, housing, southern highlands, abc illawarra, justin huntsdale",-34.4516,150.4445,http://www.abc.net.au/local/photos/2014/05/26/4012255-mediarss.xml, How would you like to live in a house that generates more electricity than it uses you never have to turn on the air conditioner and heater and it doesn't cost that much more than a regular house to build Step inside Mittagong Greeny Flat I'd been living in the United States for 20 years in Montana where it gets down to minus 50 degrees celsius at times so energy efficiency is a whole different kettle of fish he says Coming back here it seems really easy to do this After returning to Australia he sized up his mother backyard and designed and built his Greeny Flat - a two bedroom fully functional unit that is now producing almost twice as much energy as it using He started with two main goals - to make it energy positive and to show people that it can be affordable My philosophy is regardless of what you think about global warming at some point we have to learn to live without fossil fuels because they won't last forever This experiment is to see if we can do it now and if we can why not do it? The flat is meticulously designed to capitalise on available daylight for solar energy and natural heating while shade and the floor slab will help regulate the inside temperate during the hottest and coldest parts of the year There a water tank out the back to capture rain water and last week the flat underwent a blower door test by University of Wollongong researchers to ensure it was airtight He and his girlfriend have just spent their first month living in the flat Early indications are that it will work really well Andy says Winter will be the real test but I have no doubts in the summer we'll make more energy than we're using Just over the last week since we had our solar panels installed we're making twice the energy we're using He says it likely his mother will move into the flat in her later years so he also designed the house to make it compatible for the elderly There are ramps as well as sufficient door space to move a walking frame through the indoor and outdoor space is low maintenance and the corrugated iron cladding outside means not a drop of paint has been used outside I've been working on this full time for a year now in designing planning and building it I've just finished it and I'm about to take a holiday but when I get back I'll be thinking about what I'll do for a crust The Greeny Flat doesn't only just stand out for its striking metal design it miles more energy efficient than most houses built in Australia today Andy says when he left the country 20 years ago Australia was ahead of the US on energy efficient housing design Now we have fallen behind and we are even further behind Europe where houses need to be designed to withstand extreme temperatures and make use of natural energy options We're an energy producing nation and we have cheap energy but we're all starting to realise energy prices are going up Threats of global warming are making people conscious of the energy we use and the carbon we produce You can stay up to date on how the Greeny Flat is performing with Andy blog,"images/0001.png"
Aerobatics: the art of cheating death on a wing and a dare,http://www.abc.net.au/local/photos/2014/12/01/4139758.htm,1/12/2014,http://www.abc.net.au/reslib/201412/r1362859_19168529.jpg,Wollongong aerobatic pilot and instructor Shaun Holmes with the stunt biplane he flies over the Illawarra.,Copyright: ABC | Source: ABC | Byline: Justin Huntsdale,"Business, Economics and Finance:Industry:Air Transport, Business, Economics and Finance:Industry:Tourism, Lifestyle and Leisure:Travel and Tourism,",ABC Illawarra NSW,NSW,Albion Park,"aerobatics, shaun holmes, flying, planes, stunts, biplane, tourism, illawarra, beach, adrenaline, extreme sport, aviation",-34.5729,150.7635,http://www.abc.net.au/local/photos/2014/12/01/4139758-mediarss.xml, Aerobatic pilot Shaun Holmes says it the airsickness and dizziness you need to get over first - after that learning to throw a plane around in death-defying acts is just like learning to drive a car But for Wollongong aerobatic pilot Shaun Holmes this sort of madness is all in a day work He even refers to the face-squashing g-force pressure on the body as vitamin G and says you can condition your body to get used to the nausea and dizziness associated with this type of flying When you first begin you think it difficult and wonder how you'll manage all these things at the same time but as time goes by and you get more time to practice you start to be more confident and proficient he says Start simple and easy and work your way into it as you become more skilled Shaun works for an Albion Park-based company that provides high-adrenaline joy rides over the Illawarra coast and is also a trainer for other thrill seekers wanting to become aerobatic pilots The fascination with aviation started as a child when he would go flying with his father in gliders But the peaceful journey of a glider is a far cry from what he does now I was thinking about the military road to start with but then I got more interested in the older-style planes and teaching as well he says When I was learningaerobatics was compulsory as part of the course and when I started I thought I've got to get more of this So from the days of sitting in the glider with his father banging the controls he now progressed to aerobatic pilot responsible for the lives of his passengers while he gives them a very intense adrenaline rush The excitement isn't lost on the pilot either no matter how many times he goes up You still get the same buzz excitement and rush of adrenaline - you feel the Gs and the aerobatics Flying in general and the way you go about it there great pleasure in that The stunt plane One of the planes in his hangar is the 1943 Boeing PT-17 Stearman - a plane with World War 2 history dating back to its role as a training aircraft for the Tuskegee Airmen - the first-ever African-American military aviators based in Alabama The plane is called the Lilly Warra and Shaun says despite its age it made for stunts It what it was designed for - even though it an old design it still a capable aeroplane and darn good fun to fly in too After being used by the Tuskegee Airmen the plane was sold as surplus stock in 1944 and used privately until it was restored in 2005 and purchased by the Albion Park company in 2010 Safety concerns He says his friends and family worry about his line of work - after all he not in the business of flying conservatively His response is one you hear a lot from pilots My friends and family worry sometimes depending on what I'm doing but we generally accept it more dangerous to drive you car to the airport than jump in a plane and throw it around He says he never gets sick of doing that along the Illawarra coastline It absolutely beautiful and everyone I take flying is full of comments about how lovely it looks Sometimes I have passengers who aren't interested in aerobatics and I still enjoy flying along looking at the coastline and just enjoying the view,"images/0070.png"
Australiaﾒs lady bushranger: the life of Jessie Hickman sparks film industry interest,http://www.abc.net.au/local/photos/2014/12/03/4141124.htm,3/12/2014,,,,"Arts and Entertainment, Arts and Entertainment:Books (Literature), Arts and Entertainment:Books (Literature):Author, Arts and Entertainment:Books (Literature):Crime Fiction",ABC North Coast NSW,NSW,Goonellabah,"pat, clift, the lady bushranger, film, abc, arts, margaret burin, story, studdy-clift, north coast, lismore, retirement village, jag films,",-28.8185,153.3226,http://www.abc.net.au/local/photos/2014/12/03/4141124-mediarss.xml, She had been in prison twice before So when Elizabeth Jessie Hickman allegedly struck her drunk and abusive husband Fitzy over the head and killed him she felt she had no choice but to run deeper down the path of crime Her story is the subject of a historical novel written almost 20 years ago by Pat Studdy-Clift The 88-year-old who now lives in Lismore on the New South Wales north coast spent four years researching the story It was an early 1900s tale that - along with the ancient Wollemi pine - lay hidden in the valleys of the Blue Mountains After she had moved up to Nullo Mountain she told her neighbour there that the reason for coming to the mountain was that she had to kill her husband in self-defence Ms Studdy-Clift said This is a time when only the rich could afford morals the poor were left with sin to survive Her earlier trials in Parramatta and Mudgee courts were for petty crimes by today standards She had been dealt jail time for the theft of things like chooks clothing cattle and a horse Upon her release she is believed to have begun working as a housemaid for a man called Fitzgerald Henry who is believed to have become her husband There is no death certificate for Fitzy Ms Studdy-Clift believes that Jessie Hickman buried the body so that it was never found and then spent years on the run hiding out in remote caves and canyons It that type of country you could disappear into Ms Studdy-Clift said It so inaccessible and wild; real bushranger country Her early years growing up in a travelling circus had provided her with handy horsemanship and survival skills It was also while in the troupe that she would travel into the bush with an Indigenous performer who had shown her Aboriginal trails pivotal in her escape While in the remote wilderness Hickman again found herself a focus of the authorities when she joined a team with notorious cattle duffer Andy Black before forming a duffing gang of her own The policeset a trap for Jessie of about six stock that were clearly identifiable she said But she was able to make an escape from them it was infuriating for them After numerous escape-artist escapades one of which resulted in Hickman stabbing the foot of a policeman with a pitch-fork the lady bushranger was finally captured in the late 1920s Even then Hickman friends helped plan the ultimate getaway Legend has it that on the day that she was to face court the cattle that were to serve as evidence mysteriously went missing under the watch of an Aboriginal police tracker who Hickman had been on friendly terms with At one stage he had had a bad fall on his horse and Jessie had rescued him Ms Studdy-Clift said When the trial came there was no case and Hickman was released The story compiled by Pat Studdy-Clift in The Lady Bushranger The life of Jessie Hickman has been under film option by various producers since it was released From her small retirement village unit in Goonellebah she has recently met with WA-based producer of Jag Films Jennifer Gherardi who has the rights to turn the story into a drama It a bit of a one off for Australia - we don't have another female bushranger story like this she said Ms Gherardi says she is in the process of courting larger production companies to help turn it into a feature film or teleseries Film industry analysts have urged her to form a deal with a company able to pull off a medium to high-budget production The producer says the narrative couldn't be any better if someone made it up This story is such a fantastic story in terms of its dramatic arc she said The fact that she was apprentice to the circus which gave her the perfect training to be a bushranger but then also be able to dress up in finery and go into town in disguise and sell off cattle the fact that she finished up living with a violent man then you're looking at a woman who is just about survival and ended up in cattle duffing that the police set up a special taskforce just to get her and she escaped several times And then there is the big hoorah in this story - she got her freedom  So why hasn't Jessie Hickman been famous (or infamous) like the Ned Kellys and Captain Thunderbolts of Australian history? Ms Gherardi says it appears many people of that region have not wanted the story to get out It only one generation back where they were the children of people connected to her; they were wanting to leave their poverty behind and their reputations of being on the wrong side of the law The people who were wealthy thought it would be making a hero of her she said I just couldn't believe that this story hadn't been told in a movie before it was so exceptional As the production process is still in its early stages Pat Studdy-Clift is aware that she may not be around to see the finished product That doesn't worry me I'm just glad I've started it all,"images/0072.png"
#SummerIsComing,http://www.abc.net.au/local/photos/2014/11/21/4133872.htm,21/11/2014,http://www.abc.net.au/reslib/201412/r1363641_19184048.jpg,,Copyright: ABC | Source: | Byline: Charl Pienaar and Jane Cozens,,ABC Sydney,NSW,Sydney,"summer, sydney, coming, summer is coming, festival, competition, brilliant, 702 abc sydney, comp, photo, photography, win, winners, entries, gallery, selection, sydney, weekend.",-33.8631,151.2043,http://www.abc.net.au/local/photos/2014/11/21/4133872-mediarss.xml, See a selection of the entries so far to our competition to win a Sydney Festival Gold Pass We have asked for people to send us their best photographs to show that summer is coming Enjoy this selection of photos and if you would like to enter here are the details This amazing prize includes 4 x priority passes to Waterfall Swings at Darling Harbour; 2 x priority passes to Inside Their Falls at Carriageworks; 2 x VIP tickets to Summer Sounds in The Domain; 4 x tickets to Timber! At Riverside Theatres Parramatta and 4 x tickets to Tex Perkins Far from Folsom at Parramatta Gaol How to enter The Sydney Festival embraces the holiday mood in Sydney during the summertime and we want you to show us what summer means to you Send us your best photograph to show that summer is coming Entries can be sent via Facebook - post in the comments wall or message sections Twitter - mention @702sydney when sending photograph Entry period Entries open Friday 21 November - Friday 28 November Please read the Terms and Conditions for full entry details,"images/0076.png"
Earthquake photos stir memories of a devastating day,http://www.abc.net.au/local/photos/2014/12/02/4140557.htm,2/12/2014,http://www.abc.net.au/reslib/201412/r1363571_19182572.jpg,David Rothery with the photo of himself being featured in the exhibition.,Copyright: ABC/Reuters | Source: ABC Local | Byline:,"Arts and Entertainment, Arts and Entertainment:Photography, Disasters and Accidents, Disasters and Accidents:Earthquake",ABC Newcastle NSW,NSW,Newcastle,Newcastle: Afternoons earthquake anniversary 25 museum exhibition then and now photographs portraits images rescuers survivors 1233 abc,-33.2298,151.5828,http://www.abc.net.au/local/photos/2014/12/02/4140557-mediarss.xml, It was an emotional experience for the Newcastle earthquake survivors and rescuers who posed for photographs to mark the 25th anniversary of the disaster Thirteen people were killed and 160 injured in the quake which struck on the morning of December 28 1989 David Rothery who was one of the rescue squad captains at the Newcastle Workers Club was so preoccupied with his dangerous task he wasn't even aware his photo had been taken His squad speciality was cave rescues but they were called in because at that time there were no urban search and rescue crews David remembers the club enormous concrete slab was still settling the day after the quake caused the building to collapse So when you had the machinery shut off that was demolishing the building next door you could really hear the slab still creaking and you'd see dust coming out of cracks in the slab he recalls It would freak most people because you're underneath it When David saw the photo that was taken of him during the rescue he was surprised by the emotion visible in his face Very moving because it has that intensity on my face at the time which I was very stunned to see he says It something that you put aside on the day because you switch into operational mode you just divorce yourself from any emotion You put your emotions aside At the time David was deeply concerned for the safety of his teams many of whom had travelled long distances from across NSW Some of them hadn't slept for 36 hours before they even got to the site he says You put your emotions aside on the day and you probably put them aside for a long time afterwards One of David most vivid memories is emerging from the darkness and twisted remains of poker machines under the wreckage of the club to face a wall of media and a barrage of questions Due to protocol even though he knew people had been killed he was unable to speak about it The photographer behind the exhibition Luke Kellett collaborated with Newcastle Museum so he was fully aware of the participants stories before meeting them We understood the subjects backgrounds and what they had experienced he says He chose to only show them the earlier photo of themselves right before he was about to shoot their portraits And that was a really poignant thing to do because people memories while the images were taken were quite fresh in their brain Luke says It a very confronting process One of the most striking images is of retired paramedic Bruce Hounslow with former Newcastle Workers Club receptionist Margaret Turnbull They looked at the image and automatically went into that position Luke explains For them to revert back to that space and that time was a very beautiful thing to be a part of It probably a really good image that represents what the exibition is about in terms of then and now The fact that the images are almost life size increases their impact the photographer says I'm sure it a very confronting process for some people Earthquake Then and Now can be seen at the Newcastle Museum until February 8 David Rothery and Luke Kellett spoke to Nick Gerber from 1233 ABC Newcastle</strong>,"images/0076.png"
The Island of Doctor Moron takes to the stage,http://www.abc.net.au/local/photos/2014/11/14/4128605.htm,14/11/2014,http://www.abc.net.au/reslib/201411/r1355648_19019959.jpg,The Island of Doctor Moron on stage at the New Olympia on Oxford Street in Sydney,Copyright: ABC | Source: ABC Local | Byline: 702 Sydney,"Arts and Entertainment:Opera and Musical Theatre,",ABC Coffs Coast,NSW,Kempsey,"theatre, musical, island of doctor moron",-31.0714,152.826,http://www.abc.net.au/local/photos/2014/11/14/4128605-mediarss.xml, Despite a few negative reviews the director of the home grown rock musical The Island of Doctor Moron is rolling with the punches and staying positive After being diagnosed with cancer Chris and his wife Lyn (who co-wrote the music) felt that if they were ever going to give their production a chance they would really have to go for it So they leased the old Academy Twin cinemas on Oxford Street in Sydney refit the venue with new chairs and then renamed it the New Olympia Theatre A crowd funding campaign and a significant financial contribution of their own has paid for a six month lease a cast of more than twenty performers a full band staging crew and technicians They really have put everything into this dream Unfortunately two days before the opening night a review was published which gave the show only one and half stars The Island of Doctor Moron Not quite the next Rocky Horror I guess we were naive letting the media come in and review what was a tech rehearsal Chris Dockrill said We've just got to roll with those punches now Since opening night the script has been changed and the production has been tweaked And each night Chris sits at the back of the theatre and watches the audience reaction They've never seen anything like it he said It so left-field and they really don't know what happening at first By the time they're at intermission I can see them laughing and having a great time Ticket sales for the first week have been slow but Chris says that the forward bookings are looking much better The Island of Doctor Moron is performed four nights a week until 6 December 2014     Chris Dockrill the writer and director of The Island of Doctor Moron chats with Fi Poole about seeing his musical on stage in Sydney,"images/0078.png"
Tributes flow for local hero,http://www.abc.net.au/local/photos/2014/12/01/4139477.htm,1/12/2014,http://www.abc.net.au/reslib/201412/r1362873_19168888.jpg,Retailers in Macksville have stuck up their hero in their windows,Copyright: ABC | Source: ABC Local | Byline: Fi Poole,"Sport:Cricket,",ABC Coffs Coast,NSW,Macksville,"cricket, phillip hughes,",-30.3087,152.5193,http://www.abc.net.au/local/photos/2014/12/01/4139477-mediarss.xml, The region pays tribute to Phillip Hughes who died aged 25,"images/0079.png"
2013 was a good year to be a political cartoonist,http://www.abc.net.au/local/photos/2014/11/20/4132866.htm,20/11/2014,http://www.abc.net.au/reslib/201411/r1358811_19087162.jpg,John Tiedemann's Australian Gothic depicting NSW Labor ministers Eddie Obeid and Ian Macdonald pays homage to Grant Wood's American Gothic,Copyright: ABC | Source: ABC Goulburn Murray | Byline: Allison Jess,"Arts and Entertainment, Arts and Entertainment:Library Museum and Gallery, Arts and Entertainment:Visual Art, Government and Politics",ABC Goulburn Murray,NSW,Albury,"cartoons, albury library museum, mike bowers, jules boag",-36.0765,146.9227,http://www.abc.net.au/local/photos/2014/11/20/4132866-mediarss.xml, The nation leading cartoonists had a field day - day after day after day it seems - with Australian politics in 2013 A collection of work by the nation leading cartoonists interpreting politics in 2013 is currently on display at the Albury LibraryMuseum Behind the Lines 2013 The Year Best Political Cartoons is an exhibition from the Museum of Australian Democracy which is based at Old Parliament House It features works from the 2013 Political Cartooning Competition The exhibition was officially opened in Albury by photo journalist Mike Bowers who hosts the Talking Pictures segment on ABC TV Insiders  Albury City Exhibitions Coordinator Jules Boag says many of the cartoons in the gallery have appeared in Bowers segment He said after all his years of covering political events 2013 was the most extraordinary year Ms Boag said Behind the Lines 2013 is at the Albury LibraryMuseum until December 14th 2014     Albury City Jules Boag talks Behind The Lines 2013,"images/0083.png"
Behind the thin blue line with a local detective,http://www.abc.net.au/local/photos/2014/12/01/4139535.htm,1/12/2014,http://www.abc.net.au/reslib/201412/r1362921_19170147.jpg,Detective Sergeant Steve Howard has been in the NSW Police since 1990.,Copyright: ABC | Source: ABC Local | Byline: Robert Virtue,"Law, Crime and Justice, Law, Crime and Justice:Crime, Law, Crime and Justice:Police,",ABC Central West NSW,NSW,Parkes,"Police, detective, Parkes, vehicle, car, NSW, New South Wales, law, enforcement, traffic, safety, driving, Detective Sergeant Steve Howard, ABC, ABC Central West, Robert Virtue, 2014, Australia, crime, Lachlan LAC, investigation, investigate, criminal, murder, accidents",-33.1388,148.1747,http://www.abc.net.au/local/photos/2014/12/01/4139535-mediarss.xml, Crime-fighting has been around for centuries; but what does being a modern detective involve? These programs give a dramatised look at the role of a police detective as they try to solve baffling crimes and bust hardened crooks But is what they show even close to what life as a detective is really like? Detective Sergeant Steve Howard is the Investigations Manager for the NSW Police Lachlan Local Area Command (LAC) based in Parkes in central west NSW Sgt Howard joined the police force in 1990 and transferred to Forbes from Sydney in 1995 His role is to now oversee the management of seven detectives in the Parkes station as well as to supervise investigations himself in the LAC The process Becoming a detective in NSW is a long and involved process After a minimum of two years working in general duties officers who show an expression of interest spend six months in the detective office on a rotation From there they're assessed and if the results are positive they face the Bull Ring - a selection assessment made by senior police officers There they are quizzed with scenarios and tested about their knowledge of charges and the law If officers pass the assessment they go on a waiting list to become a plain clothes officer where they work as a detective but aren't fully certified This process lasts a minimum of 12 months Successful officers then attend a year-long training course at the Goulburn Police Academy Once finished they are fully-designated detectives What makes a good detective? Detectives are the people assigned to investigate some of the most confronting and heinous incidents that happen in our communities It a job that requires a special set of skills- including an analytical mind and emotional resilience  Having  tenacity is a big thing  and  being able to overcome a hurdle  are required skills  he said As police we have to play by the rules and we've got to abide by the law A lot of criminals don't have any of that to deal with- they can lie cheat do whatever they like We've got to be able to outsmart them That challenging but when you get a result it very satisfying A day in the life of a detective As with many parts of NSW a broad array of crime is perpetrated each day in the Lachlan LAC From sexual assaults and suspicious deaths to car crashes and robberies Sgt Howard and his team are faced with cases of varying levels of complexity Each day is a different day You can come into work and might find that you're at the desk for the entire day doing paperwork and supervisory duties said Sgt Howard Other days you can come in  and be out in the field  - like last week there were a couple of serious motor vehicle accidents and we were all out there working on those for the entire day Even though each day you think you know what you're going to be doing often you aren't because it takes a different tangent Fact versus fiction On television police dramas are some of the highest-rating programs on air But do they overly-dramatise what the job of a detective is? I physically can't watch those shows said Sgt Howard I find them too frustrating that they've actually arrested somebody and they've got their DNA back within an hour and they've got these magic things that pixelate all the pictures; it quite ridiculous at times There are some good shows out there  but other ones  are too much I can't watch them With a new breed of want-to-be police officers applying for the academy each year do these police shows give a false sense of what life in the force is like? Anybody who been here for a short period of time will soon realise that what you see on TV is not how it is in reality said Sgt Howard I think anybody that comes in as a general duties police officer will find out what it is like- there a lot of time spent on the street but there also a lot of paperwork that we have to do too The detectives in the Lachlan LAC have a large workload with each officer having up to 10 cases on the go at once Sgt Howard said often the public doesn't understand the limitations of a detective job Some of the public expect to get results  like on the TV shows  he said They expect us to go and get DNA or fingerprints off a crime scene back within a day and when we say that it could be several weeks they think It can happen on TV so why can't you guys do it? Challenges and rewards of the job Having been in the central west for almost 20 years Sgt Howard said the difference between country and city policing is dramatic He said detectives in rural areas are more connected to their community which adds another level of complexity to investigations When something happens generally you will often know the victim  or the  offender I like to think that there more of a compassionate side to how we do things  out here  We take crime a bit more personally too he said I've got a detective that lives in Orange one in Canowindra Forbes and Parkes We're all part of the community Sgt Howard said he still finds the job rewarding and plans to remain in the police force for some time to come I like the challenge of what we do It keeps your mind active and makes your day go pretty quickly; but it always satisfying,"images/0084.png"
Day One - The Great Vic Hits Albury,http://www.abc.net.au/local/photos/2014/11/29/4138905.htm,29/11/2014,http://www.abc.net.au/reslib/201411/r1362480_19160781.jpg,Welcome to Albury!,Copyright: ABC | Source: ABC Local Radio | Byline: Jeremy Lee,"Sport:Cycling,",ABC South West Vic,NSW,Albury,great victorian bike ride great vic bicycle riding cycling albury bicycle network victoria abc south west victoria breakfast jeremy lee,-35.5765,146.5227,http://www.abc.net.au/local/photos/2014/11/29/4138905-mediarss.xml, Everyone arriving in Albury for the start of this year Great Victorian Bike Ride tomorrow This year to give people more of a chance to get to the start of the ride without having to rush away from work on Friday Bicycle Network have decided to start the ride on a Sunday so we'll effectively have one less day riding but the same amount of time socialising! I took the option to leave my car in the long term carpark at Lilydale where this year ride ends and it was a cool even slightly drizzly start to the day in Melbourne as we loaded our bikes onto the trucks and climbed onto the bus to head up the Hume As we trundled along the road through some gorgeous looking country (some of which I presume we'll be cycling through over the next week) the clouds parted and the temperature climbed so by the time we arrived in Albury around 1pm it was about 40 degrees Well not quite but it certainly felt a lot hotter than the relatively mild late autumn we've been having in south west Victoria where I'm based By the time I'd set my tent up (in the blazing sun) the temperature had probably climbed another 10 degrees - especially inside the tent The weather is always paramount in people minds at the start of this ride and this year it looks like we're in for some possible storms over the next couple of days then some fine weather and then some potentially heavy rain around Thursday when we're due to have a rest day in Mansfield It just a forecast though That what I keep telling myself On the way up I met Justin Rasmussen from Mortlake - a seasoned rider who doing the Great Vic for the first time this year with some fellow riders As he explained we attempt different rides around Victoria and we saw this ride and thought we'd give it a go A few years ago the ride went through Mortlake and we saw it like a moving town as it came through Justin one of the 3800 cyclists taking part this year so whatever the weather throws at us we'll all enjoy it together! At least the fine start to this year ride seems to have everyone in a good mood and the promise of some spectacular riding should make for a great week on this year Great Vic     Justin Rasmussen from Mortlake,"images/0085.png"
A personal insight into life as a migrant in Orange,http://www.abc.net.au/local/photos/2014/11/27/4137148.htm,27/11/2014,http://www.abc.net.au/reslib/201411/r1361305_19136439.jpg,Alfred Ngong moved to Orange from South Sudan.,Copyright: ABC | Source: ABC Local | Byline: Robert Virtue,"Community and Society, Community and Society:Immigration, Human Interest, Human Interest:People",ABC Central West NSW,NSW,Orange,"Migrant, Orange City Council, Migrant Support Services, NSW, New South Wales, Alfred Ngong, Australia, Orange, central west, ABC, ABC Central West, Robert Virtue, 2014, life, people, community, support, programs, education, mentoring, mentor",-33.0846,148.9988,http://www.abc.net.au/local/photos/2014/11/27/4137148-mediarss.xml, Sudanese migrant Alfred Ngong has had many ups and downs over the years; but his new life in Orange is steaming ahead with the help of a local support service While it a long distance away it a distance South Sudanese migrant and Orange resident Alfred Ngong traversed (with a few extra stops along the way) The 34-year-old moved to Orange in 2012 to be with his wife and children; but it was a long process Mr Ngong journey has been filled with ups and downs and a number of challenges along the way but he found his feet and is now working for Orange City Council Migrant Support Services which aims to help people who've been through a similar experience to Mr Ngong Early life Mr Ngong was born in Sudan (now South Sudan) but at a young age he was forced to flee to Ethiopia because of civil war There he lived for three years in a refugee camp; but soon enough he was on the move again as the scourge of war encroached He went back to his homeland but then travelled to Kenya where he went to school In 2000 I got resettled to the United States under the Lost Boy resettlement program said Mr Ngong I had the chance to go to school (university) in the US and got my degree in civil engineering For five years he worked with the North Dakota Department of Transportation The challenges of moving to Orange With his wife and three children already living in Australia Mr Ngong came to visit and soon decided he wanted to stay But he said moving had its challenges When I moved here two years ago I lived for a year and a month without working It wasn't that easy because all the money that I had was gone and I had to depend on my wife he said After I got my temporary visa I travelled back to the US then did a bit of study Almost three months ago Mr Ngong got a casual job with Orange City Council Migrant Support Services  He now works across a number of council divisions with the aim of getting as much experience as possible Despite finding work Mr Ngong said there were difficulties in moving to the central west When I first moved here the neighbourhood was not that friendly There were some kids that were aggressive he said From my perspective before I got to know other community members I thought that what represented Orange But after that things are very quiet and everything gone back to normal In Orange people are very nice Life in Orange The Migrant Support Services offers a range of activities and programs to help migrants in the central west integrate into the community with ease As part of the service work a mentoring program after school sport and leadership activities are run for migrants The service is primarily funded through the Settlement Grants Program (run by the NSW Department of Social Services); and it also provides information for new migrants in the Parkes Forbes and Cabonne Shires as well as Orange Mr Ngong said he wanted to get involved in the program having developed a strong passion for volunteering in Kenya I was in a refugee camp  and  during those years I got involved with church activities community events and after school programs From that point on I began to develop a passion towards helping the community he said It became something that I loved to do; even when I was working as an engineer I still loved coming to the community  and  wanted to do some programs free of charge Mr Ngong said not many other places he lived in has a program as inclusive as Orange The way local government is reaching out to the community is really fantastic It doing great things; it has strong connections with the community Hopes for the future and message to other migrants When he not helping other migrants in the central west Mr Ngong is working towards his second university degree this time in chemistry In the long-term he would like to become a science or maths teacher at a university or high school  I want to  help the other community members discover their dreams and help youth form their identity and do what matters in their life he said Despite having a rocky introduction to life in Orange Mr Ngong said other migrants shouldn't be disheartened by the challenges life in the region poses He said programs like those offered by the Migrant Support Services are integral in making life easier Wherever you move to try and make friends When you have that connection it is easy for you to get around and it is easy for you to know what other opportunities  are available  in that community he said In any community that you go to there are bad and good people When you do your best to show who you are and let people know then life will be easier The western world is a great country with the opportunities  If you make good use of your time and connections and know what is available then you'll always become who you want to be,"images/0088.png"
Hawks team up with emergency services to save disastrous season,http://www.abc.net.au/local/photos/2014/11/27/4137194.htm,27/11/2014,http://www.abc.net.au/reslib/201411/r1360948_19129997.jpg,Wollongong Hawks captain Oscar Forman with Wollongong police Inspector Jim Fryday at the Wollongong Fire Station ahead of this Friday's game paying tribute to emergency services.,Copyright: ABC | Source: ABC | Byline: Justin Huntsdale,"Sport:Basketball:NBL,",ABC Illawarra NSW,NSW,Wollongong,"wollongong hawks, nbl, basketball, emergency services, oscar forman jim fryday, sport",-34.0263,151.0927,http://www.abc.net.au/local/photos/2014/11/27/4137194-mediarss.xml, There will be a friendly curtain-raiser between the New South Wales Police and New South Wales Ambulance Service followed by a ceremony at half time Hawks captain Oscar Forman says his struggling team can take a lot from the attitude of the people they're honouring These guys and girls involved in emergency services are the real heroes of the Illawarra and there no way we can let them down It a humble check for us - you have to do something for the guy next to you that the way they operate There are no individuals in their squads and there can't be for ours It a timely analogy as the team looks to end the worst losing streak in the club history After winning their opening game of the season against the Crocodiles the Hawks have been beaten all over the country since Everyone doing it pretty tough and everyone finding it hard Forman says I've never been in this situation but it times like this you find out about your teammates and yourself and we have to be a lot closer than we are You can see fractures on the court but we need to look at what getting us success and build on that What gone wrong? It hard to work out exactly what gone wrong for the Hawks this year There the issue of bringing six new players into the team and getting them to gel with the returning players There the sacking of club stalwart Dave Gruber to make way for the return of Rhys Martin There the lack of backcourt direction that saw the return of Martin in the first place There was the departure of scoring machine import Rotnei Clarke And then there also the very real possibility that the NBL has simply risen to a higher level and every team is better than they were last year It not just on the new players - it on returning players and senior players more than anything else Forman says When you have this record it not a time to look at anyone else - there not one person who can say they're doing everything perfectly now Forman says a video session after last Sunday 30 point thrashing by Townsville has uncovered some glaringly obvious problems with their game which they've been working on this week The psychological toll The losing streak is taking its toll on the captain too It something I think about a lot when I go home and before and after training It takes a lot of my focus and maybe it affecting my game - perhaps I need to stop worrying so much about it and only worry about my own game The team will have the support of Illawarra emergency service workers who are hoping their presence will lift the team Sport a big consideration for everyone in Australia so being invited to come to the Hawks is not only a pat on the back for us but hopefully a chance to give them a kick along and get that going for them Wollongong Police Inspector Jim Fryday says The Wollongong Hawks play the Townsville Crocodiles this Friday at 730pm at the Win Entertainment Centre with the emergency services game starting at 630pm</strong>,"images/0092.png"
