Title,URL,Date,Primary image,Primary image caption,Primary image rights information,Subjects,Station,State,Place,Keywords,Latitude,Longitude,MediaRSS URL,Words,Billboards
"Forget the crabs, Christmas Island is ham radio heaven",http://www.abc.net.au/local/photos/2014/11/07/4124079.htm,7/11/2014,http://www.abc.net.au/reslib/201411/r1352961_18967085.jpg,,Copyright: ABC licensed | Source: VK9XSP | Byline:,"Information and Communication:Broadcasting:Radio, Lifestyle and Leisure:Clubs and Associations, Lifestyle and Leisure:Lifestyle, Lifestyle and Leisure:Travel and Tourism",ABC North West WA,WA,Christmas Island,ham amateur radio short wave enthusiast operator vk9xsp polish poland christmas island red crab North West WA: Mornings,-10.483,105.623,http://www.abc.net.au/local/photos/2014/11/07/4124079-mediarss.xml, It was an arduous journey from Prague to Dubai then to Jakarta before the final leg to the dot in the North West Indian Ocean that is Christmas Island; over 40 hours in transit But the usual activities centring on Christmas Island unique wildlife dominated by thousands of bright red crabs were not a high priority for these unusual visitors The group of friends have regular Polish names but they prefer their call signs I am mostly known under my shortwave call sign which is ugar-Papa-Six-Echo-Queen-Zulu Wodak Helej told Alexia Attwood for North West WA Mornings Radio days It arguably an obsession from another time When Mr Helej was growing up in Poland radio was cutting edge technology I was born in a small city in 1951 There was only one telephone in the whole city He developed an obsession with the invisible waves that connected him to the rest of the world Over 50 years later he still passionate about his hobby We are a group of friends about nine persons altogether who go each year to a different place to make the connection with the people with amateur radio hams all over the world he said While St Brandon Island St Eustatius Mauritania St Vincent and the Grenadines may be exotic destinations for Mr Helej they're DX-pedition locations DX refers to the telegraphic shorthand for distance and a DX-pedition is a trip to a remote location by amateur radio operators The aim of a DX-pedition can vary widely depending on what branch of amateur radio an operator is passionate about Mr Helej is a collector of transmissions from around the world Some people are looking for and collecting new countries and this is the most exciting from my point of view I have collected 340 countries out of 347 so only a few are left The most wanted is North Korea where it is forbidden to use the radio at all Many tourists fish the deep blue waters around Christmas Island but ham radio enthusiasts trawl the airwaves with large antennas searching for an unusual signal bouncing through the atmosphere You need to know the physical rules about the propagation which depends on the sun generally speaking Mr Helej said Radio star While in Christmas Island Mr Helej and his companions took part in an international amateur radio competition and won The winning formula explains the value to ham radio of an island that could be described as being the middle of nowhere There a special calculation that scores the more connection you have with more countries in the more remote regions of the world The Polish team of radio enthusiasts eventually gave themselves some free time on the island only to find the famed red crabs weren't as reliable as an old-fashioned radio signal I expected to see the red crab migration but it is postponed until next month,"images/0182.png"
Generous donation means Coolgardie CAPS can have a string orchestra,http://www.abc.net.au/local/photos/2014/11/06/4122870.htm,6/11/2014,http://www.abc.net.au/reslib/201411/r1352217_18950547.jpg,CAPS Coolgardie students with violins donated by St Hilda's in Perth,Copyright: ABC licensed | Source: CAPS Coolgardie | Byline: Supplied,"Education:Subjects:Music,",ABC Goldfields WA,WA,Coolgardie,Coolgardie CAPS music violin string ensemble orchestra school education St Hildas Peth Goldfields,-30.9549,121.1645,http://www.abc.net.au/local/photos/2014/11/06/4122870-mediarss.xml, Coolgardie Christian Aboriginal Parent-directed School has received 21 violins and one viola from St Hilda School in Perth My vision was to build a string orchestra here because I'm classically trained but when I got here there was no such instrument that I could use Elsee told Michele Weekes on ABC Goldfields Esperance  Asking for donations last year yielded three violins and a small ensemble was formed But a recent donation from St Hilda Anglican School for Girls means Elsee can begin the tough task of forming a full string orchestra at CAPS Elsee met the St Hilda music teacher Tim on a music trip to Perth We started talking about our schools what kind of music ensembles we have and I talked about the string ensemble that we recently started at CAPS Tim said it sounded great and that they had some violins they aren't using at the moment and would be more than happy to donate them to us Along with the violins and viola are music books stands and a metronome Elsee said she will present the instruments to the students at an assembly on Friday These instruments will help me to build a proper string orchestra at our school and give our students more opportunities to learn classical instruments They are not very used to seeing or playing the musical instruments they are more familiar with guitar and percussion instruments which they have seen in their families and back in their communities They are very interested but have never been exposed to these kinds of instruments I'm very excited especially to see some students that didn't want to get involved saying that now they want to join us Elsee said it would probably take a year of learning theory and then an additional year of putting that into practice The CAPS students plan on writing a big thank you card and presenting St Hilda with a small plaque of gratitude,"images/0187.png"
The anatomy of lightning - facts and photos,http://www.abc.net.au/local/photos/2014/10/31/4119180.htm,31/10/2014,http://www.abc.net.au/reslib/201410/r1347971_18858462.jpg,"Thunderstorms passed through the Central highlands in October, taking many by surprise and causing a significant amount of damage.",Copyright: ABC | Source: Supplied | Byline: Peter Kervarec,"Weather:Storm,",ABC Kimberley WA,WA,Broome,lightning weather storm thunder Kimberley: Mornings,-17.957,122.2395,http://www.abc.net.au/local/photos/2014/10/31/4119180-mediarss.xml, Millions of volts tens of thousands of degrees in temperature radiation emitting molecule splitting; lightning is powerful and spectacular Bureau of Meteorology physicist Paul Hettrick dissects this force of nature and gives safety tips if you find yourself in the strike zone Now in the build-up thunderstorms develop almost daily flashing into the evening with the promise of a downpour Watched from the safety of a modern house or building lightning offers one of nature most dazzling displays For more information visit the Bureau of Meteorology thunder and lighting information page,"images/0188.png"
Northcliffe: the town that would not die turns 90,http://www.abc.net.au/local/photos/2014/10/01/4098358.htm,1/10/2014,http://www.abc.net.au/reslib/201410/r1336305_18617417.jpg,"Dress to impress was the theme for the birthday ball. Dancers foxtrotted, waltzed and did the maxina around the floor. The oldies definitely showed the youngsters how it is done",Copyright: ABC | Source: ABC Local | Byline: SK,"Community and Society:Community and Multicultural Festivals, Community and Society:History:20th Century, Community and Society:History:Depression 1930s, Community and Society:Regional",ABC South West WA,WA,Northcliffe,"northcliffe 90th celebrations, southwest, dairy, rural, community",-34.6341,116.1208,http://www.abc.net.au/local/photos/2014/10/01/4098358-mediarss.xml, Northcliffe put on a birthday bash to celebrate the fact that despite a disastrous beginning and collapsing industries it has survived Northcliffe was founded in 1924 as part of the Group Settlement Scheme A joint UK/WA initiative the scheme was meant to develop a dairy industry for the state and to provide options for post-war Britons Most settlers were from England and Scotland but some were also from Ireland Settlers were painted a picture of milk and honey Instead they found uncleared land And what land! Huge towering karri trees some of the largest in the world thick undergrowth and a wet often cold climate Children loved the freedom of their new life For parents it was a never-ending struggle to clear land build a shack buy cattle pay the bank and get the cream to market Northcliffe produced butterfat and not whole milk in the early days When the Depression arrived in the 1930s the price of butterfat dropped The bank and the bills were taken out of the cream cheque Little was left and in some cases the farmer owed money to the carter One third of the groupies as they have come to be known walked off the land In later decades tobacco and then timber provided economic sustenance to the town Both industries faltered Quotas and deregulation put pressure on surviving dairy farmers in the 70s and 90s Some turned to beef Today despite all the adversity some dairy farmers are optimistic that the bad times are gone and the next generation of group settler descendants can take their place on the land,"images/0212.png"
Orcas eating baby whales helping World Heritage reef,http://www.abc.net.au/local/photos/2014/10/24/4113841.htm,24/10/2014,http://www.abc.net.au/reslib/201410/r1346019_18819257.jpg,A killer whale attempts to seperate a humpback calf from its mother and escort at Ningaloo reef near the North West Australian coast.,Copyright: ABC licensed | Source: MIRG Austalia | Byline: John Totterdell,"Environment:Oceans and Reefs, Science and Technology:Animals:Mammals - Whales,",ABC North West WA,WA,Ningaloo,killer whale orca humpback calves calf baby eating attacking ningaloo exmouth North West WA: Mornings Kimberley: Mornings,-22.6833,113.6667,http://www.abc.net.au/local/photos/2014/10/24/4113841-mediarss.xml, The distressing site of baby humpbacks being eaten by killer whales also known as orcas at Ningaloo Reef is a sign of environmental health researchers believe No one likes to see a calf or a baby if you like devoured he told Vanessa Mills for ABC North West WA and Kimberley Mornings Although up to six metres long at birth a newborn humpback is dependent on its mother for food in the form of milk and protection from predators But there only one animal known to regularly attack and eat humpback calves and that killer whales Return of the killers Killer whales were rarely seen around Ningaloo Reef after the 1960s In the early 2000s they were occasional visitors to the area But numbers really started to increase from 2005 Now a group of up to 27 killer whales are resident in the Exmouth Gulf for up to two months each year Their arrival in the area is timed to intercept female humpbacks swimming north to give birth along Western Australia tropical coastline Small groups of killer whales move in on humpback babies The killer whales can easily outswim their target but a humpback mother is over twice their size and can deliver powerful blows with pectoral and tail fins Killer whales try to use their superior speed and numbers to wear down the humpback mother defence of her young Mr Totterdell says it a battle that can go either way Half the time the humpbacks are successful in escaping and saving their calves from the attack so it quite an interesting balance he said Some humpback mothers make the migration with an escort another adult whale which can help defend the calf The two adults can shield a calf from both sides where a lone mother struggles to deflect attacks from all directions Prominent deaths Mr Totterdell has also seen the humpbacks hugging the reef at Ningaloo to avoid killer whales A number of times we've seen them give up the chase and just back off and leave the humpback cow with its calf almost in the breakers on the back of the reef he said This tactic brings the humpbacks and their hunters close to shore where people are witnessing what can be a harrowing spectacle Emotions are high; a lot of people on the reef here have witnessed this There quite an active whale shark  tourism  industry operating during this same time of year and quite often there several vessels around when these events are happening Feeding the reef Beyond the sad end of a baby humpback life are the animals that benefit from its demise The increase in killer whale numbers appears to be a return to the natural order Pre-whaling days when the humpbacks were quite prolific in the 50s there was reports of 50 and 60 killer whales in groups up here at the top of Exmouth Gulf and around the Cape Range area he said Seabirds and sharks are the next animals to move in on the humpback carcass Shark species have a bonanza and there lot of commotion with sea birds at these events As the carcass sinks to the floor then all the benthic organisms have a go Mr Totterdell said The calf body delivers valuable nutrients that have been transported from the fertile Antarctic humpback feeding grounds to the tropical reef It an example of the complexity of marine food chains where the health of whale populations and Antarctic feeding grounds are directly linked to the vitality of a tropical reef ecosystem Mr Totterdell is continuing to study Ningaloo killer whales to better understand what they do and where they go when they are not in the area But in the meantime he urges people who are concerned about humpback whales being eaten by killer whales to instead think of it as a sign that humpback numbers are returning to pre-whaling levels The humpbacks have come back in a big way and we could see the return of big numbers of killer whales so it quite exciting WARNING The following amateur video was filmed by tourists on a charter in the Exmouth Gulf and is not connected to any research project by MIRG Australia It depicts whale predation and may be distressing to some viewers <iframe width=350 height=197 src=//wwwyoutubecom/embed/cq6mVZXje9g?rel=0 frameborder=0 allowfullscreen></iframe>,"images/0213.png"
An Anzac man of letters describes life in the trenches,http://www.abc.net.au/local/photos/2014/08/29/4077350.htm,29/08/2014,http://www.abc.net.au/reslib/201408/r1322797_18331956.jpg,John Hills Letter,Copyright: ABC | Source: Albany History Collection | Byline: John Cecil,"Community and Society:History:World War 1, Unrest, Conflict and War,",ABC Great Southern,WA,Albany,"anzac, albany, world war one, john hill, soldier, war",-35.0239,117.8805,http://www.abc.net.au/local/photos/2014/08/29/4077350-mediarss.xml, The letters that soldiers sent back to Australia were often the only form of communication they had with their families during World War One After several assignments he took his place in the trenches of Gallipoli using his qualifications in logistics military law signals and field work to his advantage John wrote long powerful letters home to his loved ones and it was important to him that they weren't sugar-coated He wrote carefully and descriptively leaving behind any spin or censorship The following excerpt is from a letter home written during John time in the trenches at Gallipoli Though we are used to the fearful din that goes on almost nightly we were wakened several times that night in our bivouac here and we felt certain something was on so that when the usual stand to arms took place at 330 am every man was out of his possy immediately The explosion took place at this time but the bombing being so severe I personally did not hear it The order came in about 10 minutes to move up to the trenches Halfway up another order came - officers wanted up above I ran up and what a disappointing sight there was for me The trenches had been lost and the Turks were at that instant swarming down our support and communication trenches! John continues explaining that the colonel and majors in charge were dumbfounded not expecting the severity of the attack The order came down for John to take 100 of the men and clear the trenches with bayonets  inwardly I said goodbye to life but outwardly I smiled and felt as calm as I would on a peacetime manoeuvre The young man quickly came up with a plan deciding to take the men and work his way methodically through the trenches one at a time I soon knew how far up I could go - something hit me on the top of the head I enquired - is that a stone or what? Mr Little (now a 2nd Lieutenant was my platoon Sgt) informed me a bullet had ploughed its way through the top of my head It was bleeding rather badly but I had no time to think of that The men charged the trenches firing blindly some falling along the way Then when I thought all the Turks had been cleared from it I crawled along the saps and had a look along it with a periscope - what a sight! The sand bags had all been knocked in with the explosion and above them were filled with dead Turks some of them almost blown to bits with our bombs The soldiers then found that they had inadvertenly trapped 16 of the Turkish soldiers in a trench that had caved in They called on the Turkish men to surrender who did so willingly How scared they were - and when our fellows gave them biscuits and cigarettes they became as happy as could be and seemed to feel their luck was in Well out of that trench we trailed about 30 dead Turks about 100 bombs thousands of rounds of ammunition dozens of rifles - all to show that the Turks were preparing to hold what they had won It wasn't until the next afternoon that John was able to get some food and have his head wound addressed Unfortunately the wound had been well filled with earth by rubbing along the roofs of tunnels and the excitement over I began to feel it I got it properly dressed about 430 pm and feeling a bit seedy and headachey I got relieved and spent the night in my bivouac here The bullet has ploughed a nice little furrow across the top of my head He ends the letter by asking about the family by thanking them for their correspondence and gifts John explains that the letter isn't meant to strike fear or evoke drama but rather to show those at home the truth But why should men have to take one another lives? That the soldier question Were peace declared tomorrow our men would rush over to the Turks shake hands with them and give them even their last cigarette Poor Turks they are the dupes of the Germans They fight well and I believe fairly but they are bound to lose in the end although probably that will be for their ultimate good But let leave politics and war By the way this letter has to be kept strictly to the family do you twig? With much love John,"images/0218.png"
The forgotten women of the Great War,http://www.abc.net.au/local/photos/2014/08/20/4071041.htm,20/08/2014,http://www.abc.net.au/reslib/201408/r1318776_18228953.JPG,A group of Australian Army nurses at the Mena Camp in Egypt,Copyright: ABC | Source: Australian War Memorial | Byline: Unknown,"Community and Society:History, Unrest, Conflict and War,",ABC Great Southern,WA,Albany,"nurses, anzac, women and anzac, women, war, world war one",-35.0239,117.8805,http://www.abc.net.au/local/photos/2014/08/20/4071041-mediarss.xml, Over 2000 Australian nurses served in World War I and were instrumental in saving the lives of the diggers who made it through Yet they are largely left out of the Anzac legend overshadowed by the bravery of the soldiers on the front line For many it was the first time that they were able to work alongside men as equals - and they stepped up to the plate without hesitation During an era when women had only just received the vote in Australia and New Zealand and were more often than not confined to the home even signing up was a bold move for the nurses Peter Rees is the author of Anzac Girls  a book and mini-series detailing the involvement of Australian women in the war For the women to have an opportunity through their nursing to be part of Australia first step onto the world stage was a unique opportunity that didn't pass them by says Mr Rees Then they were really cut out of the Anzac story over the years he told ABC Great Southern Donna Dabala As the war progressed the deeds of the men and the heroism of the Australian diggers naturally took place in the telling of the story And that the way it been passed down for 100 years Harsh conditions The conditions that the nurses faced were extremely taxing particularly during the Gallipoli conflict It was something that they were completely and utterly unprepared for says Mr Rees Worsening the situation was that the medical authorities had failed to properly prepare for the number of wounded who would be coming back So you had situations where the nurses could be looking after 1000 men The equipment on the hospital ships and onshore facilities was extremely rudimentary and the staff assigned to help the nurses were usually untrained The hospital facilities were often simple tents with dirt floors The women also had to face medical situations that they could not have previously fathomed; from wounds inflicted by new technology to a severe lack of doctors Very early on in the campaign they were delivering anaesthetics says Mr Rees They had to adjust so quickly War often leads to advances in medical treatment out of necessity Despite the lack of sanitation and medical supplies the nurses of WWI only lost a very small number of soldiers due to infection Returning home Upon their return to Australia the nurses of WWI did not receive the same post-service financial benefits as their soldier counterparts nor did they receive any kind of recognition of their work They were treated quite badly in Australia and New Zealand in that sense says Mr Rees The women were not asked to march in yearly commemoration events nor were they invited to be part of local RSLs around the nation The women just got politely swept aside and they became a footnote of this amazing story But many of the soldiers who had received care from the nurses realised the contributions they had made Mr Rees recalls stories of Australian soldiers pulling in nurses from the crowd during Anzac day marches asking them to walk alongside the diggers One of those nurses was Nellie Pike who spoke of her service not long after the war We were all glad to be taking part in the great adventure They were grim and tragic but somehow inspiring days,"images/0218.png"
Anzacs return home: shell shock and tragedies,http://www.abc.net.au/local/photos/2014/05/02/3996853.htm,2/05/2014,http://www.abc.net.au/reslib/201410/r1348029_18859882.JPG,"Patients, officers and nursing staff in a ward at No. 3 Australian Auxiliary Hospital in Kent. Many of the patients were being treated for shell shock.",Copyright: ABC | Source: Supplied | Byline: Australian War Memorial,"Event, Health, Human Interest, Unrest, Conflict and War",ABC Great Southern,WA,Albany,"ANZAC, war, PTSD, health, Scates, ABC Great Southern, Monash university",-35.0239,117.8805,http://www.abc.net.au/local/photos/2014/05/02/3996853-mediarss.xml, Anzac stories are usually steeped in bravery honour and sacrifice But what about the darker side? The question must be asked if we are selective about the stories we tell do we devalue and sanitise the Anzac legend? Rarely is the darker side of war and its repercussions touched on But for many soldiers the blood they saw and the battles they were involved in gnashed at their minds when they returned to everyday life Anzac soldier Frank Wilkinson was one of the many who suffered upon returning resulting in a devastating end for both him and his family On his soldier settlement land where the banks and traders clamoured for payment and his wife and child looked to him for support Frank couldn't see a way out He snapped and killed his wife and daughter before turning a gun on himself to silence the pain Frank is one of many stories that flies in the face of the Anzac legend that challenges the sanitised version of a war hero History Professor Bruce Scates believes that we do a disservice to the Anzac memory It time 100 years on that we have the courage and simple honesty to stare the horror of the Great War in the face and say  this is the long term impact of war this is what happens when you send young men and women to fight war  He warns against only depicting positive nation-building stories It important to get the balance right to honour the lives of all those who went to war says Professor Scates By telling the darker less comfortable stories Professor Scates believes that as a nation Australia may be able to better understand and treat the emotional wounds of war     Professor Bruces Scates talks about doing the Anzac mythology a disservice,"images/0218.png"
PechaKucha; making friends and influencing people in regional Australia,http://www.abc.net.au/local/photos/2014/10/28/4116555.htm,28/10/2014,http://www.abc.net.au/reslib/201410/r1348091_18861274.jpg,Allison Stout is using PechaKucha to connect people through ideas in her hometown of Broome.,Copyright: ABC | Source: Supplied | Byline: Gary Annett,"Community and Society:Social Capital,",ABC Kimberley WA,WA,Broome,pechakucha pecha kucha broome ideas connecting networking architecture regional australia Kimberley: Mornings,-17.957,122.2395,http://www.abc.net.au/local/photos/2014/10/28/4116555-mediarss.xml, It like a TED talk for regular people and it making connections around the world and even in regional Australia That why Allison Stout has organised a PechaKucha night in her hometown of Broome in North Western Australia I started to think This place has a lot of creative people and a lot of interesting people And we all run these parallel lives but we're not connecting she told Vanessa Mills on ABC Kimberley Mornings Idea sharing Before Allison came to Broome to work as an architect in the surrounding Indigenous communities she attended an architecture conference in Sydney where she met Tokyo-based architect Mark Dytham He was presenting his idea for getting people together to talk about their passions and dreams In 2003 Mark and his partner Astrid Klein came up with a concept to draw people to their bar and exhibition space to talk and share ideas PechaKucha comes from the Japanese for chit-chat and alludes to the fast-paced nature of this visual presentation The foundation of PechaKucha is a 20 image slide show automated to run each shot for just 20 seconds leaving the presenter just over six minutes to have their say What it does is it restricts the likes of us very creative people to talk for hours and hours and hours about the work we do Allison said Viral A year after the first PechaKucha in Tokyo the event spread to a few cities in Europe After ten years PechaKucha nights are now being held in over 700 cities Allison said part of the popularity is due to the accessibility of the format It not like TED talks in that sense it bottom up So it anybody with a passion or a love or an interest or a creativity that wants to get up and present With images to prompt nervous speakers and a brief window to tell your community about the idea that fills you with excitement PechaKucha is designed to connect people through what really matters After that six minutes and 40 seconds that you get you can talk to people in the room about it and it starts to connect people Allison said it a non-profit concept designed to engage inspire and encourage deeper thinking and creativity for all people It meant to be just anybody and everybody coming together to have a yarn Wherever you're from whatever your background whatever you're wearing you're accepted Broome first PechaKucha night is on 28th October from 630pm at the Mangrove Hotel,"images/0218.png"
Unlocking the mysterious movements of the banded stilt,http://www.abc.net.au/local/photos/2014/10/23/4113261.htm,23/10/2014,http://www.abc.net.au/reslib/201410/r1345917_18816965.jpg,Banded Stilts take flight at a recently filled salt lake on the Canning Stock Route.,Copyright: ABC | Source: Supplied | Byline: Roger Standen,"Science and Technology:Animals:Birds,",ABC Goldfields WA,WA,Kalgoorlie,Banded Stilt Birds Research Reece Pedler Lake Ballard Eyre Goldfields Kalgoorlie Bird Water Breed,-30.7458,121.4715,http://www.abc.net.au/local/photos/2014/10/23/4113261-mediarss.xml, Unlike seasonal migratory birds the Banded Stilt will arrive at an inland salt lake when it senses the rain has been through By tracking 20 of the birds with satellite transmitters Reece Pedler aims to find out more about how the Banded Stilt knows when and where to visit In February this year thousands of the birds arrived at Lake Ballard to breed after heavy rain in late January substantially raised the water levels of many of the lakes in the area The largest Banded Stilt breeding event before that was in 1995 Deakin University PhD student Reece Pedler has been tracking the birds to find out more about their movements The research has revealed that Bandid Stilts are among the fastest nomadic birds in the world For a long time their movements have been this great mystery he told Kirstyn March on ABC Goldfields-Esperance  In the early 1900s in Australia no-one had ever seen a Banded Stilt egg or nest despite nearly all the eggs and nest of other birds being well known It was in 1930 that the first ever nest was found at Lake Grace in the Goldfields and it became apparent that the reason no-one had ever found any was because they were nesting in these really remote places after rain To carry out the research tiny five gram solar-powered satellite trackers were attached to the birds It a challenge catching the birds I get as close to them as I can on a boogie board in the water all camouflaged and I fire a little net launcher over them and catch them in a net It is a fairly undignified task I might add says Mr Pedler About 20 birds were tagged for the research some at a wetland near the South Australian coast and others at Lake Eyre The Lake Eyre birds covered large distances very quickly We had several birds that moved 700km to 800km in overnight flights from Lake Eyre and back to the coast Perhaps the most exciting was two birds that flew an incredible distance from Lake Eyre across to the Goldfields One of them did about 2300km in about two and a half days We knew that these birds must be able to move fast and cover big distances but this sort of movement really surprised us says Mr Pedler He says the research was important for estimating the population sizes of the Banded Stilt across Western Australia and particularly South Australia where the species is threatened This (research) shows the birds in SA may be able to breed on Goldfields salt lakes It also of much greater general interest Just looking at the strategies water birds use to find these short-lived opportunities in the desert  and indeed our tracking of these birds shows that their movements are right up there with some of the fastest movements of nomadic birds in the world Mr Pedler research has garnered international interest and has been covered in the New York Times and the Smithsonian Magazine,"images/0236.png"
Rural nights inspire stunning photos of the stars,http://www.abc.net.au/local/photos/2014/10/21/4111617.htm,21/10/2014,http://www.abc.net.au/reslib/201410/r1344876_18795805.jpg,Out of this World,Copyright: ABC | Source: Jessett | Byline: Tom Jessett,"Arts and Entertainment:Photography, Rural,",ABC South West WA,WA,Cascade,"southwest, photography, jessett, farm, rural",-30.9667,115.8333,http://www.abc.net.au/local/photos/2014/10/21/4111617-mediarss.xml, Travelling farm worker Tom Jessett fell in love with Esperance Now Esperance is in love with his photos of rural life Crowded skies harvesters at night light trails and beautiful beaches Tom has an eye for what will make an impact through the lens Originally from the UK he arrived in the district four harvests ago For someone with a liking for astrophotography he landed in the right place You look at the skies around Western Australia where we have no light pollution It was a no-brainer he says of his choice to focus on long exposure images Tom defines his style as no style I take things that I love the Australian landscape and travel and anything to do with the farm Likewise his technique has more to do with imagination than shutter speed In the evening I take my ute out into the paddocks and try and get imaginative in terms of what I can take a picture of that night Tom love for the art and his choice of camera has developed over the last decade or so I was always the guy who carried the little digital camera around in my glove box and always had it on me The advent of camera phones spurred him to go further I got a DSLR and I started putting a lot more thought into what I do Seeing other photographers imagery on social media sites inspired Tom to try new ideas He discovered astrophotography and knew that that was what he wanted to do Currently Tom Jessett is working on a property in Cascade a rural district about 100km north west of Esperance His visa expires next May but he in no hurry to leave I've fallen in love with Esperance I came originally for one seeding and I'm still here It a hard place to leave His favourite photo is Out of This World which was taken about two months ago The ute stands in the developing wheat crop against a background of jostling stars I think that my favourite so far and that one got a really good response Tom Jessett spoke to Kirstyn March on ABC Goldfields Esperance Mornings,"images/0239.png"
Veteran cars light up Burt Street,http://www.abc.net.au/local/photos/2014/10/22/4112373.htm,22/10/2014,http://www.abc.net.au/reslib/201410/r1345331_18804570.JPG,"Veteran cars make their way down Burt Street, Boulder, as part of the National Veteran Car Rally's Gaslight Parade.",Copyright: ABC | Source: ABC Open | Byline: Nathan Morris,"Lifestyle and Leisure:Lifestyle:Automobile Enthusiasm,",ABC Goldfields WA,WA,Kalgoorlie,Veteran Car Rally National Kalgoorlie Boulder Burt Street Gaslight Parade Cars History Old,-30.7458,121.4715,http://www.abc.net.au/local/photos/2014/10/22/4112373-mediarss.xml, A twilight drive in Boulder on Tuesday saw about 90 veteran cars light up their gas or electrical headlights as part of this week National Veteran Car Rally Kalgoorlie-Boulder is host to the National Veteran Car Rally this week There is an important different between veteran and vintage cars Rally Director Katherine Paynter told ABC Open Producer Nathan Morris All the cars have to be classified as veteran so they are all pre 1919 she said People often get confused between veteran and vintage cars the difference is a vintage car is from 1919 to 1930 so all these cars are pre 1919 About 90 veteran car owners promenaded their vehicles down Burt Street on Tuesday night some donning vintage clothing to match the theme Not all the vehicles in this category will have lights that work some lights will be electric and some people will have to physically light their gas headlamps So that the uniqueness of this event David Carver from Adelaide took three days to bring his 1912 T Ford Roadster to Kalgoorlie-Boulder We haven't been to WA by road for a long time so it was a good opportunity to come and drive across the Nullarbor again he told Nathan Morris Lighting gas headlights is no easy feat too much could easily cause the demise of a veteran car Most of the veterans were burnt to the ground because of the acetylene (gas) If you got the flow too great and too much acetylene came through then you would find you had a very big fire in your headlights If that got to the body or to the carburettor where the petrol is your car would go up Very quickly in early 1915 they started getting electric lights One driver Alan said most drivers enjoyed the slower pace involved with owning veteran cars You're driving at a much slower pace so you see a lot more as you're going down the road Also the aromas; when you're driving through the Barossa or Swan Valleys for instance you can smell the grapes and different aromas as the scenery changes So you get an all new perspective on motoring just like it was in the old days To hear audio from the Gas Light Parade click here,"images/0240.png"
The storm hits WA farming regions: in pictures,http://www.abc.net.au/local/photos/2014/10/20/4110919.htm,20/10/2014,http://www.abc.net.au/reslib/201410/r1344532_18788960.jpg,Storms rolling in over the Wheatbelt.,Copyright: ABC | Source: Supplied | Byline: Jordan Cantelo,"Weather, Weather:Storm,",ABC Mid West WA,WA,Geraldton,"weather, storm, weather damage, storm damage, hail, wheatbelt, great southern, photography",-28.7802,114.6132,http://www.abc.net.au/local/photos/2014/10/20/4110919-mediarss.xml, Dangerous weather affected many areas of Western Australia over the weekend causing damage to crops and houses Certain areas of the Wheatbelt were hit particularly hard with some farmers losing crops Pat a farmer from just outside of Lake Grace clocked 145mm in his area I've never seen rain like it in my lifetime he said Although a little bit of rain could be good for crops at this time of the year the damage in farming regions was extensive It washed the gullies out the dam banks are washed out there rubbish in the dams Pat said Any wind might just blow the crops over at this point Andrew Dunne from Beacon estimated 10-20 per cent damage to his crops There just a lot of wheat snapped off halfway up the stalk he said Farmers across the Mid West Wheatbelt and Great Southern areas were now playing a waiting game to see whether their crops would hold out over the next few days The low pressure system was currently sitting over Bremer Bay but was forecast to move away from the mainland by the middle of the week As usual a few keen photographers hit the road to capture the storm in their regions Click through the gallery above and submit your own photos to our Facebook page,"images/0244.png"
